adm_nm,stock,opened,closed,quarter,closure_rate,net
군위군 군위읍,133,6,0,2016Q1,0.0,6
군위군 부계면,95,0,0,2016Q1,0.0,0
군위군 산성면,11,0,0,2016Q1,0.0,0
군위군 삼국유사면,15,0,0,2016Q1,0.0,0
군위군 소보면,17,0,0,2016Q1,0.0,0
군위군 우보면,13,1,0,2016Q1,0.0,1
군위군 의흥면,27,0,0,2016Q1,0.0,0
군위군 효령면,37,0,0,2016Q1,0.0,0
남구 대명10동,186,1,2,2016Q1,0.0108,-1
남구 대명11동,134,3,2,2016Q1,0.0149,1
남구 대명1동,80,2,1,2016Q1,0.0125,1
남구 대명2동,196,6,4,2016Q1,0.0204,2
남구 대명3동,297,6,4,2016Q1,0.0135,2
남구 대명4동,168,3,2,2016Q1,0.0119,1
남구 대명5동,187,4,3,2016Q1,0.016,1
남구 대명6동,83,2,3,2016Q1,0.0361,-1
남구 대명9동,221,3,5,2016Q1,0.0226,-2
남구 봉덕1동,149,2,2,2016Q1,0.0134,0
남구 봉덕2동,134,4,0,2016Q1,0.0,4
남구 봉덕3동,215,3,3,2016Q1,0.014,0
남구 이천동,89,3,2,2016Q1,0.0225,1
달서구 감삼동,317,5,9,2016Q1,0.0284,-4
달서구 도원동,170,3,5,2016Q1,0.0294,-2
"달서구 두류1,2동",225,1,3,2016Q1,0.0133,-2
달서구 두류3동,262,3,0,2016Q1,0.0,3
달서구 본동,188,0,3,2016Q1,0.016,-3
달서구 본리동,224,4,2,2016Q1,0.0089,2
달서구 상인1동,229,5,1,2016Q1,0.0044,4
달서구 상인2동,404,10,9,2016Q1,0.0223,1
달서구 상인3동,124,1,0,2016Q1,0.0,1
달서구 성당동,275,5,5,2016Q1,0.0182,0
달서구 송현1동,219,2,3,2016Q1,0.0137,-1
달서구 송현2동,335,7,3,2016Q1,0.009,4
달서구 신당동,670,15,7,2016Q1,0.0104,8
달서구 용산1동,240,4,3,2016Q1,0.0125,1
달서구 용산2동,170,1,0,2016Q1,0.0,1
달서구 월성1동,185,21,4,2016Q1,0.0216,17
달서구 월성2동,65,1,1,2016Q1,0.0154,0
달서구 유천동,55,0,0,2016Q1,0.0,0
달서구 이곡1동,215,4,2,2016Q1,0.0093,2
달서구 이곡2동,234,6,4,2016Q1,0.0171,2
달서구 장기동,185,2,0,2016Q1,0.0,2
달서구 죽전동,193,1,2,2016Q1,0.0104,-1
달서구 진천동,436,10,4,2016Q1,0.0092,6
달성군 가창면,167,1,1,2016Q1,0.006,0
달성군 구지면,148,2,4,2016Q1,0.027,-2
달성군 논공읍,337,5,4,2016Q1,0.0119,1
