adm_nm,year,stock,closed,opened,rate
군위군 군위읍,2016,133,6,12,0.045
군위군 군위읍,2017,139,3,7,0.022
군위군 군위읍,2018,143,7,7,0.049
군위군 군위읍,2019,143,5,4,0.035
군위군 군위읍,2020,142,2,6,0.014
군위군 군위읍,2021,146,10,7,0.068
군위군 군위읍,2022,143,4,11,0.028
군위군 군위읍,2023,150,8,14,0.053
군위군 군위읍,2024,156,14,5,0.09
군위군 군위읍,2025,147,4,5,0.027
군위군 부계면,2016,95,2,5,0.021
군위군 부계면,2017,98,6,2,0.061
군위군 부계면,2018,94,6,1,0.064
군위군 부계면,2019,89,1,2,0.011
군위군 부계면,2020,90,3,1,0.033
군위군 부계면,2021,88,11,5,0.125
군위군 부계면,2022,82,2,2,0.024
군위군 부계면,2023,82,2,1,0.024
군위군 부계면,2024,81,6,3,0.074
군위군 부계면,2025,78,2,1,0.026
군위군 산성면,2016,11,1,0,0.091
군위군 산성면,2017,10,0,4,0.0
군위군 산성면,2018,14,1,2,0.071
군위군 산성면,2019,15,0,1,0.0
군위군 산성면,2020,16,3,2,0.188
군위군 산성면,2021,15,0,2,0.0
군위군 산성면,2022,17,1,1,0.059
군위군 산성면,2023,17,0,0,0.0
군위군 산성면,2024,17,1,0,0.059
군위군 산성면,2025,16,0,0,0.0
군위군 삼국유사면,2016,15,0,1,0.0
군위군 삼국유사면,2017,16,0,2,0.0
군위군 삼국유사면,2018,18,0,0,0.0
군위군 삼국유사면,2019,18,1,0,0.056
군위군 삼국유사면,2020,17,1,0,0.059
군위군 삼국유사면,2021,16,1,0,0.062
군위군 삼국유사면,2022,15,1,1,0.067
군위군 삼국유사면,2023,15,0,1,0.0
군위군 삼국유사면,2024,16,1,3,0.062
군위군 삼국유사면,2025,18,1,0,0.056
군위군 소보면,2016,17,0,1,0.0
군위군 소보면,2017,18,0,0,0.0
군위군 소보면,2018,18,1,0,0.056
군위군 소보면,2019,17,0,0,0.0
군위군 소보면,2020,17,1,1,0.059
군위군 소보면,2021,17,0,0,0.0
군위군 소보면,2022,17,1,3,0.059
군위군 소보면,2023,19,0,0,0.0
군위군 소보면,2024,19,2,0,0.105
군위군 소보면,2025,17,1,0,0.059
군위군 우보면,2016,13,0,1,0.0
군위군 우보면,2017,14,1,1,0.071
군위군 우보면,2018,14,0,0,0.0
군위군 우보면,2019,14,1,0,0.071
군위군 우보면,2020,13,0,2,0.0
군위군 우보면,2021,15,2,1,0.133
군위군 우보면,2022,14,1,0,0.071
군위군 우보면,2023,13,0,0,0.0
군위군 우보면,2024,13,0,0,0.0
군위군 우보면,2025,13,0,0,0.0
군위군 의흥면,2016,27,0,2,0.0
군위군 의흥면,2017,29,2,1,0.069
군위군 의흥면,2018,28,0,1,0.0
군위군 의흥면,2019,29,4,3,0.138
군위군 의흥면,2020,28,2,2,0.071
군위군 의흥면,2021,28,2,2,0.071
군위군 의흥면,2022,28,2,0,0.071
군위군 의흥면,2023,26,3,0,0.115
군위군 의흥면,2024,23,9,9,0.391
군위군 의흥면,2025,23,0,1,0.0
군위군 효령면,2016,37,0,1,0.0
군위군 효령면,2017,38,3,1,0.079
군위군 효령면,2018,36,1,2,0.028
군위군 효령면,2019,37,5,5,0.135
군위군 효령면,2020,37,1,4,0.027
군위군 효령면,2021,40,2,1,0.05
군위군 효령면,2022,39,1,2,0.026
군위군 효령면,2023,40,1,2,0.025
군위군 효령면,2024,41,3,1,0.073
군위군 효령면,2025,39,0,0,0.0
남구 대명10동,2016,186,11,12,0.059
남구 대명10동,2017,187,14,9,0.075
남구 대명10동,2018,182,23,14,0.126
남구 대명10동,2019,173,9,13,0.052
남구 대명10동,2020,177,13,10,0.073
남구 대명10동,2021,174,19,9,0.109
남구 대명10동,2022,164,10,6,0.061
남구 대명10동,2023,160,11,13,0.069
남구 대명10동,2024,162,7,13,0.043
남구 대명10동,2025,168,5,5,0.03
남구 대명11동,2016,134,11,11,0.082
남구 대명11동,2017,134,10,7,0.075
남구 대명11동,2018,131,15,13,0.115
남구 대명11동,2019,129,11,9,0.085
남구 대명11동,2020,127,12,15,0.094
남구 대명11동,2021,130,7,10,0.054
남구 대명11동,2022,133,11,6,0.083
남구 대명11동,2023,128,10,9,0.078
남구 대명11동,2024,127,20,17,0.157
남구 대명11동,2025,124,5,7,0.04
남구 대명1동,2016,80,5,4,0.062
남구 대명1동,2017,79,9,6,0.114
남구 대명1동,2018,76,2,8,0.026
남구 대명1동,2019,82,8,10,0.098
남구 대명1동,2020,84,11,7,0.131
남구 대명1동,2021,80,8,14,0.1
남구 대명1동,2022,86,6,11,0.07
남구 대명1동,2023,91,7,7,0.077
남구 대명1동,2024,91,11,5,0.121
남구 대명1동,2025,85,5,2,0.059
남구 대명2동,2016,196,14,19,0.071
남구 대명2동,2017,201,9,15,0.045
남구 대명2동,2018,207,18,21,0.087
남구 대명2동,2019,210,19,24,0.09
남구 대명2동,2020,215,17,14,0.079
남구 대명2동,2021,212,20,12,0.094
남구 대명2동,2022,204,20,30,0.098
남구 대명2동,2023,214,16,16,0.075
남구 대명2동,2024,214,19,16,0.089
남구 대명2동,2025,211,10,9,0.047
남구 대명3동,2016,297,23,28,0.077
남구 대명3동,2017,302,34,25,0.113
남구 대명3동,2018,293,24,33,0.082
남구 대명3동,2019,302,21,21,0.07
남구 대명3동,2020,302,34,33,0.113
남구 대명3동,2021,301,40,37,0.133
남구 대명3동,2022,298,31,32,0.104
남구 대명3동,2023,299,21,27,0.07
남구 대명3동,2024,305,34,18,0.111
남구 대명3동,2025,289,11,10,0.038
남구 대명4동,2016,168,8,13,0.048
남구 대명4동,2017,173,13,17,0.075
남구 대명4동,2018,177,17,11,0.096
남구 대명4동,2019,171,12,21,0.07
남구 대명4동,2020,180,18,22,0.1
남구 대명4동,2021,184,26,13,0.141
남구 대명4동,2022,171,20,21,0.117
남구 대명4동,2023,172,12,8,0.07
남구 대명4동,2024,168,19,12,0.113
남구 대명4동,2025,161,4,3,0.025
남구 대명5동,2016,187,8,14,0.043
남구 대명5동,2017,193,16,14,0.083
남구 대명5동,2018,191,17,15,0.089
남구 대명5동,2019,189,9,14,0.048
남구 대명5동,2020,194,20,16,0.103
남구 대명5동,2021,190,22,19,0.116
남구 대명5동,2022,187,11,7,0.059
남구 대명5동,2023,183,15,12,0.082
남구 대명5동,2024,180,15,12,0.083
남구 대명5동,2025,177,3,3,0.017
남구 대명6동,2016,83,9,15,0.108
