관리번호,인허가일자,영업상태명,폐업일자,소재지전체주소,업태구분명,좌표정보X(EPSG5174),좌표정보Y(EPSG5174),open,close,adm_cd,adm_nm
3410000-101-2023-00284,2023-10-04,폐업,2023-10-19,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2023-10-04,2023-10-19,2711057500,중구 성내2동
3410000-101-2023-00319,2023-11-02,폐업,2024-09-09,대구광역시 중구 동인동1가 308-3 ,한식,344969.845135339,264560.940163602,2023-11-02,2024-09-09,2711051700,중구 동인동
3410000-101-2023-00300,2023-10-18,폐업,2023-10-26,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,한식,343588.735554802,264119.010750105,2023-10-18,2023-10-26,2711057500,중구 성내2동
3410000-101-2023-00303,2023-10-18,폐업,2023-10-26,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2023-10-18,2023-10-26,2711057500,중구 성내2동
3410000-101-2023-00282,2023-09-27,폐업,2025-03-17,대구광역시 중구 대봉동 0090-0002 1층 ,분식,344513.974729633,263310.960718,2023-09-27,2025-03-17,2711069000,중구 대봉2동
3410000-101-2023-00271,2023-09-18,폐업,2023-09-27,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2023-09-18,2023-09-27,2711057500,중구 성내2동
3410000-101-2023-00294,2023-10-16,폐업,2023-10-26,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2023-10-16,2023-10-26,2711057500,중구 성내2동
3410000-101-2023-00296,2023-10-16,폐업,2024-01-24,대구광역시 중구 대봉동 0020-0058 1동 ,기타,344824.654101738,263660.186269036,2023-10-16,2024-01-24,2711068000,중구 대봉1동
3410000-101-2023-00297,2023-10-16,폐업,2024-01-24,대구광역시 중구 대봉동 0020-0058 2동 ,기타,344824.654101738,263660.186269036,2023-10-16,2024-01-24,2711068000,중구 대봉1동
3410000-101-2023-00340,2023-11-21,폐업,2023-11-30,대구광역시 중구 계산동2가 200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2023-11-21,2023-11-30,2711057500,중구 성내2동
3410000-101-2023-00341,2023-11-21,폐업,2023-11-30,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2023-11-21,2023-11-30,2711057500,중구 성내2동
3410000-101-2023-00351,2023-11-30,폐업,2025-01-10,대구광역시 중구 인교동 0171 ,기타,343044.678854734,264734.445875763,2023-11-30,2025-01-10,2711058500,중구 성내3동
3410000-101-2023-00261,2023-09-15,폐업,2023-09-21,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2023-09-15,2023-09-21,2711057500,중구 성내2동
3410000-101-2023-00278,2023-09-22,폐업,2023-10-19,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2023-09-22,2023-10-19,2711057500,중구 성내2동
3410000-101-2023-00352,2023-12-01,폐업,2024-10-22,대구광역시 중구 동문동 0033-0001 지상 1층 ,기타,344074.080345178,264729.663671211,2023-12-01,2024-10-22,2711056500,중구 성내1동
3410000-101-2024-00400,2024-12-23,폐업,2025-01-02,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2024-12-23,2025-01-02,2711057500,중구 성내2동
3410000-101-2024-00402,2024-12-23,폐업,2025-01-02,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2024-12-23,2025-01-02,2711057500,중구 성내2동
3410000-101-2025-00018,2025-01-17,폐업,2025-02-20,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2025-01-17,2025-02-20,2711057500,중구 성내2동
3410000-101-2024-00383,2024-12-05,폐업,2024-12-12,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2024-12-05,2024-12-12,2711057500,중구 성내2동
3410000-101-2025-00010,2025-01-09,폐업,2025-02-05,대구광역시 중구 대봉동 0020-0004 1층 ,기타,344826.565109145,263494.415512136,2025-01-09,2025-02-05,2711068000,중구 대봉1동
3410000-101-2025-00028,2025-02-04,폐업,2025-02-19,대구광역시 중구 동문동 0033-0002 지하1층 ,경양식,344067.155344305,264731.882365444,2025-02-04,2025-02-19,2711056500,중구 성내1동
3410000-101-2024-00355,2024-11-19,폐업,2024-11-23,"대구광역시 중구 동성로2가 0165-0001 일원, 2024 동성로 달콤달달 디저트 페스타 ",기타,344019.277226028,264397.27035967,2024-11-19,2024-11-23,2711056500,중구 성내1동
3410000-101-2024-00356,2024-11-19,폐업,2024-11-23,"대구광역시 중구 동성로2가 0165-0001 일원, 2024 동성로 달콤달달 디저트 페스타 ",기타,344019.277226028,264397.27035967,2024-11-19,2024-11-23,2711056500,중구 성내1동
3410000-101-2024-00357,2024-11-19,폐업,2024-11-23,"대구광역시 중구 동성로2가 0165-0001 일원, 2024 동성로 달콤달달 디저트 페스타 ",기타,344019.277226028,264397.27035967,2024-11-19,2024-11-23,2711056500,중구 성내1동
3410000-101-2024-00358,2024-11-19,폐업,2024-11-23,"대구광역시 중구 동성로2가 0165-0001 일원, 2024 동성로 달콤달달 디저트 페스타 ",기타,344019.277226028,264397.27035967,2024-11-19,2024-11-23,2711056500,중구 성내1동
3410000-101-2025-00011,2025-01-13,폐업,2025-01-23,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2025-01-13,2025-01-23,2711057500,중구 성내2동
3410000-101-2024-00405,2024-12-26,폐업,2025-01-02,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2024-12-26,2025-01-02,2711057500,중구 성내2동
3410000-101-2024-00362,2024-11-21,폐업,2024-11-23,"대구광역시 중구 동성로2가 0165-0001 일원, 2024 동성로 달콤달달 디저트 페스타 ",기타,344019.277226028,264397.27035967,2024-11-21,2024-11-23,2711056500,중구 성내1동
3410000-101-2024-00395,2024-12-16,폐업,2025-07-11,대구광역시 중구 완전동 0005-0005 1층 ,한식,344316.622090217,264785.922792519,2024-12-16,2025-07-11,2711056500,중구 성내1동
3410000-101-2024-00396,2024-12-16,폐업,2024-12-26,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2024-12-16,2024-12-26,2711057500,중구 성내2동
3410000-101-2024-00397,2024-12-17,폐업,2025-01-23,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2024-12-17,2025-01-23,2711057500,중구 성내2동
3410000-101-2024-00354,2024-11-18,폐업,2024-11-23,"대구광역시 중구 동성로2가 0165-0001 일원, 2024 동성로 달콤달달 디저트 페스타 ",기타,344019.277226028,264397.27035967,2024-11-18,2024-11-23,2711056500,중구 성내1동
3410000-101-2025-00034,2025-02-14,폐업,2025-03-20,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2025-02-14,2025-03-20,2711057500,중구 성내2동
3410000-101-2024-00387,2024-12-06,폐업,2024-12-12,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2024-12-06,2024-12-12,2711057500,중구 성내2동
3410000-101-2025-00031,2025-02-11,폐업,2025-02-20,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2025-02-11,2025-02-20,2711057500,중구 성내2동
3410000-101-2025-00003,2024-01-06,폐업,2025-01-23,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2024-01-06,2025-01-23,2711057500,중구 성내2동
3410000-101-2024-00378,2024-12-02,폐업,2024-12-31,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,기타,343588.735554802,264119.010750105,2024-12-02,2024-12-31,2711057500,중구 성내2동
3410000-101-2020-00281,2020-12-24,폐업,2023-10-06,대구광역시 중구 서성로1가 0052-0001 지상1층 ,호프/통닭,343254.978238896,264755.947843765,2020-12-24,2023-10-06,2711058500,중구 성내3동
3410000-101-2020-00271,2020-12-14,폐업,2021-09-28,대구광역시 중구 태평로1가 0006-0005 107호,한식,344144.530660173,264976.113228869,2020-12-14,2021-09-28,2711056500,중구 성내1동
3410000-101-2021-00003,2021-01-05,폐업,2021-10-12,대구광역시 중구 덕산동 0088 반월당역 C105호,호프/통닭,343820.407679695,264018.876070282,2021-01-05,2021-10-12,2711064000,중구 남산1동
3410000-101-2020-00262,2020-11-30,폐업,2024-12-20,대구광역시 중구 동문동 0014-0006 1층 ,정종/대포집/소주방,344295.791202685,264674.504286,2020-11-30,2024-12-20,2711056500,중구 성내1동
3410000-101-2020-00264,2020-12-04,폐업,2022-06-20,대구광역시 중구 동성로3가 0007-0006 1층 ,한식,343842.864553766,264302.090991027,2020-12-04,2022-06-20,2711057500,중구 성내2동
3410000-101-2020-00257,2020-11-23,폐업,2022-04-29,대구광역시 중구 남성로 0104-0001 1층 ,기타,343609.134216425,264184.66485063,2020-11-23,2022-04-29,2711057500,중구 성내2동
3410000-101-2021-00005,2021-01-06,폐업,2024-11-13,대구광역시 중구 남산동 2236-0008 남산그린힐 ,기타,343070.998254056,263033.608607354,2021-01-06,2024-11-13,2711066000,중구 남산3동
3410000-101-2020-00278,2020-12-18,폐업,2023-08-02,대구광역시 중구 공평동 0046-0010 2층 ,한식,344084.239195172,264299.487867574,2020-12-18,2023-08-02,2711054500,중구 삼덕동
3410000-101-2020-00279,2020-12-18,폐업,2024-03-05,대구광역시 중구 공평동 0062 1층 ,정종/대포집/소주방,344347.50135286,264249.239755341,2020-12-18,2024-03-05,2711054500,중구 삼덕동
3410000-101-2020-00260,2020-11-25,폐업,2020-12-28,대구광역시 중구 삼덕동3가 0242-0001 1층 ,횟집,345169.620081522,263888.18319024,2020-11-25,2020-12-28,2711054500,중구 삼덕동
3410000-101-2021-00024,2021-02-05,폐업,2023-01-07,대구광역시 중구 대신동 0115-0378 대신119안전센터 1층 ,기타,342694.818031561,264336.577404738,2021-02-05,2023-01-07,2711059500,중구 대신동
3410000-101-2021-00014,2021-01-18,폐업,2024-09-09,대구광역시 중구 향촌동 0053-0005 1층 ,한식,343839.233993739,264819.752039548,2021-01-18,2024-09-09,2711057500,중구 성내2동
3410000-101-2021-00021,2021-02-03,폐업,2022-02-23,대구광역시 중구 남산동 3012 남산역 화성파크드림 302동 202호,경양식,342834.94332109,263144.76756277,2021-02-03,2022-02-23,2711067000,중구 남산4동
3410000-101-2021-00020,2021-02-02,폐업,2022-06-24,대구광역시 중구 봉산동 0064-0001 1층 ,기타,344046.148726817,263655.501486269,2021-02-02,2022-06-24,2711056500,중구 성내1동
3410000-101-2021-00019,2021-02-01,폐업,2024-04-05,대구광역시 중구 서내동 0053-0003 1층 ,호프/통닭,343431.965046371,264751.408155428,2021-02-01,2024-04-05,2711057500,중구 성내2동
3410000-101-2021-00017,2021-01-22,폐업,2023-04-26,"대구광역시 중구 남성로 0105-0006 1,2층 ",한식,343597.832214546,264189.544091831,2021-01-22,2023-04-26,2711057500,중구 성내2동
3410000-101-2022-00146,2022-06-09,폐업,2022-11-14,대구광역시 중구 대봉동 0018-0004 지하1층 ,경양식,344944.628049283,263499.508847796,2022-06-09,2022-11-14,2711068000,중구 대봉1동
3410000-101-2022-00147,2022-06-09,폐업,2023-05-03,대구광역시 중구 남산동 2634-0002 1층 ,식육(숯불구이),342452.908442641,263465.055247326,2022-06-09,2023-05-03,2711067000,중구 남산4동
3410000-101-2022-00150,2022-06-13,폐업,2022-06-23,대구광역시 중구 계산동2가 200 현대백화점 ,한식,343588.735554802,264119.010750105,2022-06-13,2022-06-23,2711057500,중구 성내2동
3410000-101-2022-00152,2022-06-15,폐업,2023-10-05,"대구광역시 중구 동성로2가 0001-0002 1,2층 ",기타,344029.698972979,264728.026653322,2022-06-15,2023-10-05,2711056500,중구 성내1동
3410000-101-2022-00149,2022-06-10,폐업,2022-06-23,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,한식,343588.735554802,264119.010750105,2022-06-10,2022-06-23,2711057500,중구 성내2동
3410000-101-2022-00144,2022-06-08,폐업,2024-12-19,대구광역시 중구 덕산동 0110 삼성생명 ,경양식,343787.134091605,264065.576741064,2022-06-08,2024-12-19,2711057500,중구 성내2동
3410000-101-2022-00115,2022-05-16,폐업,2024-03-27,대구광역시 중구 대봉동 0015-0011 1층 ,기타,344928.983739729,263579.100209917,2022-05-16,2024-03-27,2711068000,중구 대봉1동
3410000-101-2022-00125,2022-05-24,폐업,2024-05-27,대구광역시 중구 동인동2가 0144-0003 1층 ,기타,344916.249935779,264423.592872919,2022-05-24,2024-05-27,2711051700,중구 동인동
3410000-101-2022-00126,2022-05-25,폐업,2024-03-18,대구광역시 중구 삼덕동3가 0255-0004 1층 ,기타,344985.291616798,263928.306788401,2022-05-25,2024-03-18,2711054500,중구 삼덕동
3410000-101-2022-00118,2022-05-18,폐업,2024-06-10,대구광역시 중구 동인동2가 0056-0009 가동 1층 ,중국식,344620.394452653,264577.271660277,2022-05-18,2024-06-10,2711051700,중구 동인동
3410000-101-2022-00160,2022-06-20,폐업,2024-10-15,대구광역시 중구 화전동 0009-0003 1층 ,한식,344009.417491725,264897.499749118,2022-06-20,2024-10-15,2711056500,중구 성내1동
3410000-101-2022-00163,2022-06-20,폐업,2023-12-13,대구광역시 중구 동인동4가 0438-0002 ,한식,345460.4292335,264324.819643555,2022-06-20,2023-12-13,2711051700,중구 동인동
3410000-101-2022-00142,2022-06-07,폐업,2022-06-16,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,한식,343588.735554802,264119.010750105,2022-06-07,2022-06-16,2711057500,중구 성내2동
3410000-101-2022-00130,2022-05-30,폐업,2025-04-14,대구광역시 중구 대봉동 0711-0001 화신빌딩 1층 ,한식,344010.84941716,263014.492917054,2022-05-30,2025-04-14,2711069000,중구 대봉2동
3410000-101-2022-00135,2022-06-02,폐업,2022-12-07,대구광역시 중구 대봉동 0003-0002 1층 ,분식,345104.53438676,263538.378350594,2022-06-02,2022-12-07,2711068000,중구 대봉1동
3410000-101-2022-00170,2022-06-27,폐업,2023-08-10,대구광역시 중구 봉산동 0064-0001 1층 ,기타,344046.148726817,263655.501486269,2022-06-27,2023-08-10,2711056500,중구 성내1동
3410000-101-2022-00106,2022-05-03,폐업,2025-02-17,대구광역시 중구 대봉동 0123-0014 1층 ,한식,344852.575268839,263052.70990421,2022-05-03,2025-02-17,2711068000,중구 대봉1동
3410000-101-2022-00107,2022-05-03,폐업,2024-03-19,대구광역시 중구 향촌동 0014-0003 A동 1층 ,기타,343885.221818966,264900.428679941,2022-05-03,2024-03-19,2711057500,중구 성내2동
3410000-101-2022-00101,2022-04-29,폐업,2024-05-17,대구광역시 중구 동인동4가 0506-0003 ,일식,345528.239086762,264231.385328589,2022-04-29,2024-05-17,2711051700,중구 동인동
3410000-101-2022-00137,2022-06-03,폐업,2022-06-23,대구광역시 중구 계산동2가 0200 현대백화점 지하1층 ,호프/통닭,343588.735554802,264119.010750105,2022-06-03,2022-06-23,2711057500,중구 성내2동
3410000-101-2022-00140,2022-06-03,폐업,2024-03-12,대구광역시 중구 동인동2가 0235 가동 1층 ,기타,344984.804331813,264269.273913134,2022-06-03,2024-03-12,2711051700,중구 동인동
3410000-101-2022-00173,2022-06-29,폐업,2022-08-23,대구광역시 중구 공평동 0009 ,경양식,344328.515836233,264582.515190691,2022-06-29,2022-08-23,2711056500,중구 성내1동
3410000-101-2022-00110,2022-05-04,폐업,2023-09-07,대구광역시 중구 삼덕동1가 0022-0001 1층 ,"외국음식전문점(인도,태국등)",344342.027890378,264211.681984529,2022-05-04,2023-09-07,2711054500,중구 삼덕동
3410000-101-2022-00094,2022-04-27,폐업,2022-06-28,대구광역시 중구 포정동 0080-0003 1층 ,한식,343976.981022873,264720.706987926,2022-04-27,2022-06-28,2711056500,중구 성내1동
3410000-101-2022-00155,2022-06-17,폐업,2023-04-04,대구광역시 중구 덕산동 0110 삼성생명 ,기타,343787.134091605,264065.576741064,2022-06-17,2023-04-04,2711057500,중구 성내2동
3410000-101-2022-00159,2022-06-17,폐업,2023-10-04,대구광역시 중구 공평동 0072 3층 ,기타,344396.214910091,264328.774436145,2022-06-17,2023-10-04,2711056500,중구 성내1동
3410000-101-2022-00164,2022-06-21,폐업,2024-09-30,대구광역시 중구 대봉동 0152-0005 1층 ,기타,344401.830368888,263085.889998,2022-06-21,2024-09-30,2711069000,중구 대봉2동
3410000-101-2022-00096,2022-04-28,폐업,2023-08-21,대구광역시 중구 종로2가 0029-0002 2층 ,기타,343689.167419142,264369.881247509,2022-04-28,2023-08-21,2711057500,중구 성내2동
3410000-101-2022-00098,2022-04-28,폐업,2023-11-23,대구광역시 중구 동인동4가 0325-0001 2층 ,기타,345233.621742056,264272.537975734,2022-04-28,2023-11-23,2711051700,중구 동인동
3410000-101-2017-00351,2017-08-08,폐업,2023-07-13,"대구광역시 중구 공평동 0038 2,3층 ",정종/대포집/소주방,344081.352331878,264329.68953548,2017-08-08,2023-07-13,2711056500,중구 성내1동
3410000-101-2022-00124,2022-05-23,폐업,2024-08-05,대구광역시 중구 삼덕동3가 0274-0001 ,한식,345214.853348945,263837.959678881,2022-05-23,2024-08-05,2711054500,중구 삼덕동
