adm_nm,year,stock,closed,opened,rate
군위군 군위읍,2016,130,6,12,0.046
군위군 군위읍,2017,136,3,7,0.022
군위군 군위읍,2018,140,7,7,0.05
군위군 군위읍,2019,140,5,4,0.036
군위군 군위읍,2020,139,2,5,0.014
군위군 군위읍,2021,142,10,7,0.07
군위군 군위읍,2022,139,4,11,0.029
군위군 군위읍,2023,146,8,14,0.055
군위군 군위읍,2024,152,14,5,0.092
군위군 군위읍,2025,143,15,16,0.105
군위군 군위읍,2026,144,7,8,0.049
군위군 부계면,2016,93,2,4,0.022
군위군 부계면,2017,95,6,2,0.063
군위군 부계면,2018,91,6,1,0.066
군위군 부계면,2019,86,1,2,0.012
군위군 부계면,2020,87,3,1,0.034
군위군 부계면,2021,85,11,5,0.129
군위군 부계면,2022,79,2,2,0.025
군위군 부계면,2023,79,2,1,0.025
군위군 부계면,2024,78,6,3,0.077
군위군 부계면,2025,75,6,2,0.08
군위군 부계면,2026,71,2,2,0.028
군위군 산성면,2016,11,1,0,0.091
군위군 산성면,2017,10,0,4,0.0
군위군 산성면,2018,14,1,2,0.071
군위군 산성면,2019,15,0,1,0.0
군위군 산성면,2020,16,3,2,0.188
군위군 산성면,2021,15,0,2,0.0
군위군 산성면,2022,17,1,1,0.059
군위군 산성면,2023,17,0,0,0.0
군위군 산성면,2024,17,1,0,0.059
군위군 산성면,2025,16,5,5,0.312
군위군 산성면,2026,16,0,1,0.0
군위군 삼국유사면,2016,15,0,1,0.0
군위군 삼국유사면,2017,16,0,2,0.0
군위군 삼국유사면,2018,18,0,0,0.0
군위군 삼국유사면,2019,18,1,0,0.056
군위군 삼국유사면,2020,17,1,0,0.059
군위군 삼국유사면,2021,16,1,0,0.062
군위군 삼국유사면,2022,15,1,1,0.067
군위군 삼국유사면,2023,15,0,1,0.0
군위군 삼국유사면,2024,16,1,3,0.062
군위군 삼국유사면,2025,18,2,0,0.111
군위군 삼국유사면,2026,16,0,0,0.0
군위군 소보면,2016,18,0,1,0.0
군위군 소보면,2017,19,0,0,0.0
군위군 소보면,2018,19,1,0,0.053
군위군 소보면,2019,18,0,0,0.0
군위군 소보면,2020,18,1,1,0.056
군위군 소보면,2021,18,0,0,0.0
군위군 소보면,2022,18,1,3,0.056
군위군 소보면,2023,20,0,0,0.0
군위군 소보면,2024,20,2,0,0.1
군위군 소보면,2025,18,2,1,0.111
군위군 소보면,2026,17,0,0,0.0
군위군 우보면,2016,12,0,1,0.0
군위군 우보면,2017,13,1,1,0.077
군위군 우보면,2018,13,0,0,0.0
군위군 우보면,2019,13,1,0,0.077
군위군 우보면,2020,12,0,2,0.0
군위군 우보면,2021,14,2,1,0.143
군위군 우보면,2022,13,1,0,0.077
군위군 우보면,2023,12,0,0,0.0
군위군 우보면,2024,12,0,0,0.0
군위군 우보면,2025,12,0,0,0.0
군위군 우보면,2026,12,0,0,0.0
군위군 의흥면,2016,27,0,2,0.0
군위군 의흥면,2017,29,2,1,0.069
군위군 의흥면,2018,28,0,1,0.0
군위군 의흥면,2019,29,4,3,0.138
군위군 의흥면,2020,28,2,2,0.071
군위군 의흥면,2021,28,2,2,0.071
군위군 의흥면,2022,28,2,0,0.071
군위군 의흥면,2023,26,3,0,0.115
군위군 의흥면,2024,23,9,9,0.391
군위군 의흥면,2025,23,13,14,0.565
군위군 의흥면,2026,24,0,0,0.0
군위군 효령면,2016,36,0,1,0.0
군위군 효령면,2017,37,3,1,0.081
군위군 효령면,2018,35,1,2,0.029
군위군 효령면,2019,36,5,5,0.139
군위군 효령면,2020,36,1,4,0.028
군위군 효령면,2021,39,2,1,0.051
군위군 효령면,2022,38,1,2,0.026
군위군 효령면,2023,39,1,2,0.026
군위군 효령면,2024,40,3,1,0.075
군위군 효령면,2025,38,1,2,0.026
군위군 효령면,2026,39,1,1,0.026
남구 대명10동,2016,186,11,12,0.059
남구 대명10동,2017,187,14,9,0.075
남구 대명10동,2018,182,23,14,0.126
남구 대명10동,2019,173,9,13,0.052
남구 대명10동,2020,177,13,10,0.073
남구 대명10동,2021,174,19,9,0.109
남구 대명10동,2022,164,10,7,0.061
남구 대명10동,2023,161,11,13,0.068
남구 대명10동,2024,163,7,13,0.043
남구 대명10동,2025,169,24,12,0.142
남구 대명10동,2026,157,4,8,0.025
남구 대명11동,2016,135,11,11,0.081
남구 대명11동,2017,135,10,7,0.074
남구 대명11동,2018,132,15,13,0.114
남구 대명11동,2019,130,11,9,0.085
남구 대명11동,2020,128,12,15,0.094
남구 대명11동,2021,131,7,10,0.053
남구 대명11동,2022,134,11,6,0.082
남구 대명11동,2023,129,10,8,0.078
남구 대명11동,2024,127,20,17,0.157
남구 대명11동,2025,124,13,14,0.105
남구 대명11동,2026,125,20,4,0.16
남구 대명1동,2016,80,5,4,0.062
남구 대명1동,2017,79,9,7,0.114
남구 대명1동,2018,77,2,8,0.026
남구 대명1동,2019,83,8,10,0.096
남구 대명1동,2020,85,11,7,0.129
남구 대명1동,2021,81,8,14,0.099
남구 대명1동,2022,87,6,11,0.069
남구 대명1동,2023,92,7,7,0.076
남구 대명1동,2024,92,11,5,0.12
남구 대명1동,2025,86,12,5,0.14
남구 대명1동,2026,79,6,1,0.076
남구 대명2동,2016,198,14,19,0.071
남구 대명2동,2017,203,9,15,0.044
남구 대명2동,2018,209,18,21,0.086
남구 대명2동,2019,212,19,24,0.09
남구 대명2동,2020,217,17,14,0.078
남구 대명2동,2021,214,20,13,0.093
남구 대명2동,2022,207,20,30,0.097
남구 대명2동,2023,217,16,16,0.074
남구 대명2동,2024,217,19,16,0.088
남구 대명2동,2025,214,23,15,0.107
남구 대명2동,2026,206,15,6,0.073
남구 대명3동,2016,295,23,28,0.078
남구 대명3동,2017,300,34,25,0.113
남구 대명3동,2018,291,24,33,0.082
남구 대명3동,2019,300,21,21,0.07
남구 대명3동,2020,300,34,32,0.113
남구 대명3동,2021,298,40,37,0.134
남구 대명3동,2022,295,31,32,0.105
남구 대명3동,2023,296,21,29,0.071
남구 대명3동,2024,304,34,18,0.112
남구 대명3동,2025,288,34,21,0.118
남구 대명3동,2026,275,27,14,0.098
남구 대명4동,2016,168,8,13,0.048
남구 대명4동,2017,173,13,17,0.075
남구 대명4동,2018,177,17,11,0.096
남구 대명4동,2019,171,12,22,0.07
남구 대명4동,2020,181,18,22,0.099
남구 대명4동,2021,185,26,13,0.141
남구 대명4동,2022,172,20,21,0.116
남구 대명4동,2023,173,12,8,0.069
남구 대명4동,2024,169,19,12,0.112
남구 대명4동,2025,162,19,4,0.117
남구 대명4동,2026,147,12,7,0.082
남구 대명5동,2016,187,8,14,0.043
남구 대명5동,2017,193,16,14,0.083
남구 대명5동,2018,191,17,15,0.089
남구 대명5동,2019,189,9,14,0.048
남구 대명5동,2020,194,20,16,0.103
남구 대명5동,2021,190,22,18,0.116
남구 대명5동,2022,186,11,7,0.059
남구 대명5동,2023,182,15,12,0.082
남구 대명5동,2024,179,15,12,0.084
남구 대명5동,2025,176,19,6,0.108
남구 대명5동,2026,163,13,6,0.08
남구 대명6동,2016,83,9,15,0.108
남구 대명6동,2017,89,5,10,0.056
남구 대명6동,2018,94,9,9,0.096
남구 대명6동,2019,94,10,12,0.106
남구 대명6동,2020,96,18,11,0.188
남구 대명6동,2021,89,15,27,0.169
남구 대명6동,2022,101,13,9,0.129
남구 대명6동,2023,97,13,20,0.134
남구 대명6동,2024,104,12,7,0.115
남구 대명6동,2025,99,16,7,0.162
남구 대명6동,2026,90,8,5,0.089
남구 대명9동,2016,221,22,25,0.1
남구 대명9동,2017,224,20,24,0.089
남구 대명9동,2018,228,20,23,0.088
남구 대명9동,2019,231,19,19,0.082
남구 대명9동,2020,231,29,21,0.126
남구 대명9동,2021,223,14,16,0.063
남구 대명9동,2022,225,19,12,0.084
남구 대명9동,2023,218,15,22,0.069
남구 대명9동,2024,225,22,14,0.098
남구 대명9동,2025,217,25,11,0.115
남구 대명9동,2026,203,10,4,0.049
남구 봉덕1동,2016,149,14,9,0.094
남구 봉덕1동,2017,144,15,11,0.104
남구 봉덕1동,2018,140,18,18,0.129
남구 봉덕1동,2019,140,20,23,0.143
남구 봉덕1동,2020,143,18,19,0.126
남구 봉덕1동,2021,144,16,20,0.111
남구 봉덕1동,2022,148,8,9,0.054
남구 봉덕1동,2023,149,6,7,0.04
남구 봉덕1동,2024,150,15,12,0.1
