cluster,year,q,firms,emp,prod_cum,prod,quarter,emp_yoy,prod_yoy,firms_yoy
검단산단,2018,2,544,7924,359670.0,359670.0,2018Q2,,,
검단산단,2018,3,548,7917,539430.0,179760.0,2018Q3,,,
검단산단,2018,4,548,7949,719410.0,179980.0,2018Q4,,,
검단산단,2019,1,547,7879,179330.0,179330.0,2019Q1,,,
검단산단,2019,2,544,7855,357220.0,177890.0,2019Q2,-0.008707723372034293,-0.5054077348680734,0.0
검단산단,2019,3,545,7855,534830.0,177610.0,2019Q3,-0.007831249210559554,-0.01196039163328888,-0.005474452554744547
검단산단,2019,4,549,7869,712340.0,177510.0,2019Q4,-0.010064159013712382,-0.013723747083009274,0.0018248175182482562
검단산단,2020,1,549,7826,175550.0,175550.0,2020Q1,-0.006726741972331474,-0.021078458707410874,0.003656307129798808
검단산단,2020,2,555,7744,349360.0,173810.0,2020Q2,-0.01413112667091021,-0.022935521951767956,0.020220588235294157
검단산단,2020,3,559,7790,528300.0,178940.0,2020Q3,-0.008274984086569015,0.007488317099262343,0.025688073394495303
검단산단,2020,4,558,7784,711190.0,182890.0,2020Q4,-0.01080188079806832,0.03030815165342804,0.016393442622950838
검단산단,2021,1,559,7808,186180.0,186180.0,2021Q1,-0.0023000255558395244,0.0605525491313017,0.01821493624772308
검단산단,2021,2,561,7832,374407.0,188227.0,2021Q2,0.011363636363636465,0.08294689603590122,0.0108108108108107
검단산단,2021,3,563,7845,564177.0,189770.0,2021Q3,0.007060333761232274,0.06052308036213261,0.007155635062611854
검단산단,2021,4,566,7858,754611.0,190434.0,2021Q4,0.009506680369989695,0.04124883809940405,0.014336917562723928
검단산단,2022,1,570,7885,196147.0,196147.0,2022Q1,0.009861680327868827,0.05353421420131066,0.019677996422182487
검단산단,2022,2,569,7871,397197.0,201050.0,2022Q2,0.004979570990806925,0.06812518926615208,0.01426024955436711
검단산단,2022,3,571,7860,595432.0,198235.0,2022Q3,0.0019120458891013214,0.04460662907730417,0.014209591474245054
검단산단,2022,4,573,7882,794865.0,199433.0,2022Q4,0.0030542122677525985,0.04725521703057223,0.012367491166077826
검단산단,2023,1,569,7844,196242.0,196242.0,2023Q1,-0.005199746353836354,0.0004843306295787553,-0.0017543859649122862
검단산단,2023,2,570,7856,396408.0,200166.0,2023Q2,-0.0019057298945496237,-0.004396916190002487,0.0017574692442883233
검단산단,2023,3,571,7856,593371.0,196963.0,2023Q3,-0.0005089058524172518,-0.0064166267309001546,0.0
검단산단,2023,4,573,7856,787970.0,194599.0,2023Q4,-0.0032986551636640105,-0.024238716762020274,0.0
검단산단,2024,1,574,7867,192653.0,192653.0,2024Q1,0.002932177460479357,-0.01828864361349758,0.008787346221441172
검단산단,2024,2,577,7870,387617.0,194964.0,2024Q2,0.001782077393075454,-0.025988429603429175,0.012280701754386003
검단산단,2024,3,580,7878,579941.0,192324.0,2024Q3,0.0028004073319756184,-0.023552646943842293,0.015761821366024442
검단산단,2024,4,581,7881,769380.0,189439.0,2024Q4,0.0031822810590631523,-0.026516066372386238,0.013961605584642323
검단산단,2025,1,581,7872,184703.0,184703.0,2025Q1,0.0006355662895640712,-0.04126590294467258,0.012195121951219523
검단산단,2025,2,582,7877,371991.0,187288.0,2025Q2,0.0008894536213468474,-0.039371371124925614,0.008665511265164572
달성1차,2018,2,360,13491,2775984.0,2775984.0,2018Q2,,,
달성1차,2018,3,358,13467,4170367.0,1394383.0,2018Q3,,,
달성1차,2018,4,343,13265,5557207.0,1386840.0,2018Q4,,,
달성1차,2019,1,343,13283,1373737.0,1373737.0,2019Q1,,,
달성1차,2019,2,343,13283,2828272.0,1454535.0,2019Q2,-0.015417685864650532,-0.47602904051320183,-0.047222222222222276
달성1차,2019,3,354,14974,4346140.0,1517868.0,2019Q3,0.11190317071359623,0.08855888231569087,-0.011173184357541888
달성1차,2019,4,360,14991,5902103.0,1555963.0,2019Q4,0.13011684885035812,0.12194845836578128,0.04956268221574334
달성1차,2020,1,340,13760,1474339.0,1474339.0,2020Q1,0.035910562372957866,0.07323235815880325,-0.008746355685131157
달성1차,2020,2,337,13599,2537165.0,1062826.0,2020Q2,0.0237898065196116,-0.269301873107213,-0.017492711370262426
달성1차,2020,3,327,13323,3646109.0,1108944.0,2020Q3,-0.11025778015226395,-0.2694068258899983,-0.07627118644067798
달성1차,2020,4,322,13422,4872897.0,1226788.0,2020Q4,-0.1046627976786072,-0.21155708715438604,-0.10555555555555551
달성1차,2021,1,344,13325,1193518.0,1193518.0,2021Q1,-0.031613372093023284,-0.19047247614015506,0.0117647058823529
달성1차,2021,2,341,13259,2532903.0,1339385.0,2021Q2,-0.025001838370468432,0.26021098467670156,0.011869436201780381
달성1차,2021,3,319,12990,4066939.0,1534036.0,2021Q3,-0.024994370637243857,0.3833304477052042,-0.024464831804281384
달성1차,2021,4,321,13033,5602282.0,1535343.0,2021Q4,-0.02898226791834302,0.2515145241068546,-0.0031055900621117516
달성1차,2022,1,323,12956,1483907.0,1483907.0,2022Q1,-0.027692307692307683,0.24330508630787295,-0.061046511627906974
달성1차,2022,2,320,13037,3047150.0,1563243.0,2022Q2,-0.01674334414360057,0.16713491639819766,-0.061583577712609916
달성1차,2022,3,318,13058,4619398.0,1572248.0,2022Q3,0.0052347959969207825,0.02490945453692084,-0.0031347962382445305
달성1차,2022,4,317,13153,6219194.0,1599796.0,2022Q4,0.009207396608608809,0.041979544635954325,-0.012461059190031154
달성1차,2023,1,318,13111,1607893.0,1607893.0,2023Q1,0.011963569002778618,0.08355375370558926,-0.015479876160990669
달성1차,2023,2,317,13126,3211380.0,1603487.0,2023Q2,0.006826723939556745,0.025743918251992737,-0.009375000000000022
달성1차,2023,3,316,13114,4792342.0,1580962.0,2023Q3,0.0042885587379384305,0.005542382626659403,-0.0062893081761006275
달성1차,2023,4,312,13351,6378949.0,1586607.0,2023Q4,0.015053599939177431,-0.00824417613245687,-0.01577287066246058
달성1차,2024,1,311,13326,1576741.0,1576741.0,2024Q1,0.01639844405461055,-0.01937442354684049,-0.022012578616352196
달성1차,2024,2,310,13172,3187885.0,1611144.0,2024Q2,0.003504494895627097,0.00477521800925107,-0.02208201892744477
달성1차,2024,3,308,13152,4754278.0,1566393.0,2024Q3,0.002897666615830463,-0.009215275256457822,-0.025316455696202556
달성1차,2024,4,308,13152,6351263.0,1596985.0,2024Q4,-0.01490525054303049,0.0065410022771865695,-0.012820512820512775
