cluster,var,lag_q,n,corr
성서산단,emp_yoy,0,25,0.517
성서산단,emp_yoy,1,24,0.251
성서산단,emp_yoy,2,23,0.169
성서산단,emp_yoy,3,22,0.016
성서산단,emp_yoy,4,21,0.002
성서산단,prod_yoy,0,25,0.311
성서산단,prod_yoy,1,24,0.319
성서산단,prod_yoy,2,23,0.169
성서산단,prod_yoy,3,22,0.13
성서산단,prod_yoy,4,21,0.054
성서산단,firms_yoy,0,25,0.72
성서산단,firms_yoy,1,24,0.536
성서산단,firms_yoy,2,23,0.29
성서산단,firms_yoy,3,22,-0.386
성서산단,firms_yoy,4,21,-0.569
제3산단,emp_yoy,0,25,-0.667
제3산단,emp_yoy,1,24,-0.845
제3산단,emp_yoy,2,23,-0.809
제3산단,emp_yoy,3,22,-0.591
제3산단,emp_yoy,4,21,-0.298
제3산단,prod_yoy,0,25,0.253
제3산단,prod_yoy,1,24,0.468
제3산단,prod_yoy,2,23,0.692
제3산단,prod_yoy,3,22,0.682
제3산단,prod_yoy,4,21,0.508
제3산단,firms_yoy,0,25,0.128
제3산단,firms_yoy,1,24,-0.236
제3산단,firms_yoy,2,23,-0.373
제3산단,firms_yoy,3,22,-0.414
제3산단,firms_yoy,4,21,-0.387
서대구산단,emp_yoy,0,25,-0.48
서대구산단,emp_yoy,1,24,-0.458
서대구산단,emp_yoy,2,23,-0.293
서대구산단,emp_yoy,3,22,-0.13
서대구산단,emp_yoy,4,21,0.077
서대구산단,prod_yoy,0,25,-0.163
서대구산단,prod_yoy,1,24,-0.178
서대구산단,prod_yoy,2,23,-0.539
서대구산단,prod_yoy,3,22,-0.369
서대구산단,prod_yoy,4,21,-0.237
서대구산단,firms_yoy,0,25,-0.839
서대구산단,firms_yoy,1,24,-0.805
서대구산단,firms_yoy,2,23,-0.629
서대구산단,firms_yoy,3,22,-0.334
서대구산단,firms_yoy,4,21,-0.061
염색산단,emp_yoy,0,25,-0.302
염색산단,emp_yoy,1,24,-0.539
염색산단,emp_yoy,2,23,-0.575
염색산단,emp_yoy,3,22,-0.581
염색산단,emp_yoy,4,21,-0.606
염색산단,prod_yoy,0,25,0.037
염색산단,prod_yoy,1,24,-0.121
염색산단,prod_yoy,2,23,-0.208
염색산단,prod_yoy,3,22,-0.396
염색산단,prod_yoy,4,21,-0.453
염색산단,firms_yoy,0,25,0.507
염색산단,firms_yoy,1,24,0.362
염색산단,firms_yoy,2,23,0.084
염색산단,firms_yoy,3,22,-0.215
염색산단,firms_yoy,4,21,-0.313
검단산단,emp_yoy,0,25,0.188
검단산단,emp_yoy,1,24,0.254
검단산단,emp_yoy,2,23,0.32
검단산단,emp_yoy,3,22,0.431
검단산단,emp_yoy,4,21,0.568
검단산단,prod_yoy,0,25,-0.006
검단산단,prod_yoy,1,24,0.075
검단산단,prod_yoy,2,23,0.192
검단산단,prod_yoy,3,22,0.312
검단산단,prod_yoy,4,21,0.406
검단산단,firms_yoy,0,25,-0.533
검단산단,firms_yoy,1,24,-0.425
검단산단,firms_yoy,2,23,-0.222
검단산단,firms_yoy,3,22,0.102
검단산단,firms_yoy,4,21,0.372
달성1차,emp_yoy,0,25,-0.18
달성1차,emp_yoy,1,24,-0.356
달성1차,emp_yoy,2,23,-0.484
달성1차,emp_yoy,3,22,-0.519
달성1차,emp_yoy,4,21,-0.328
달성1차,prod_yoy,0,25,0.349
달성1차,prod_yoy,1,24,0.28
달성1차,prod_yoy,2,23,0.051
달성1차,prod_yoy,3,22,0.011
달성1차,prod_yoy,4,21,-0.09
달성1차,firms_yoy,0,25,-0.001
달성1차,firms_yoy,1,24,-0.119
달성1차,firms_yoy,2,23,-0.216
달성1차,firms_yoy,3,22,-0.253
달성1차,firms_yoy,4,21,-0.078
달성2차·국가산단,emp_yoy,0,25,0.025
달성2차·국가산단,emp_yoy,1,24,0.213
달성2차·국가산단,emp_yoy,2,23,0.455
달성2차·국가산단,emp_yoy,3,22,0.588
달성2차·국가산단,emp_yoy,4,21,0.517
달성2차·국가산단,prod_yoy,0,25,-0.417
달성2차·국가산단,prod_yoy,1,24,-0.335
달성2차·국가산단,prod_yoy,2,23,-0.227
달성2차·국가산단,prod_yoy,3,22,-0.15
달성2차·국가산단,prod_yoy,4,21,-0.127
달성2차·국가산단,firms_yoy,0,25,0.055
달성2차·국가산단,firms_yoy,1,24,0.291
달성2차·국가산단,firms_yoy,2,23,0.534
달성2차·국가산단,firms_yoy,3,22,0.598
달성2차·국가산단,firms_yoy,4,21,0.512
