관리번호,인허가일자,폐업일자,영업상태명,업태구분명,소재지전체주소,좌표정보X(EPSG5174),좌표정보Y(EPSG5174),open,close,adm_cd,adm_nm
3410000-101-2026-00122,2026-04-17,,영업/정상,한식,대구광역시 중구 삼덕동1가 0051-0010 3층,344347.2,264012.8,2026-04-17,,2711054500,중구 삼덕동
3410000-101-2026-00126,2026-04-17,2026-04-19,폐업,기타,대구광역시 중구 동성로2가 0165-0001 일원(2026년 동성로 놀장축제),344019.3,264397.3,2026-04-17,2026-04-19,2711056500,중구 성내1동
3410000-101-2026-00119,2026-04-13,2026-04-23,폐업,기타,대구광역시 중구 계산동2가 0200 현대백화점 지하1층,343588.7,264119.0,2026-04-13,2026-04-23,2711057500,중구 성내2동
3410000-101-2026-00120,2026-04-13,,영업/정상,경양식,대구광역시 중구 삼덕동3가 0332 1층,344990.3,263791.4,2026-04-13,,2711054500,중구 삼덕동
3410000-101-2026-00121,2026-04-13,,영업/정상,기타,대구광역시 중구 봉산동 0223-0029 1층,344284.6,263572.2,2026-04-13,,2711056500,중구 성내1동
3410000-101-2026-00125,2026-04-17,2026-04-17,폐업,기타,대구광역시 중구 동성로2가 0165-0001 일원(2026년 동성로 놀장축제),344019.3,264397.3,2026-04-17,2026-04-17,2711056500,중구 성내1동
3410000-101-2026-00223,2026-06-23,,영업/정상,경양식,대구광역시 중구 봉산동 0137-0029 1층,344182.4,263820.5,2026-06-23,,2711056500,중구 성내1동
3410000-101-2026-00224,2026-06-23,,영업/정상,일식,대구광역시 중구 달성동 0115-0011 1층,342684.4,265351.3,2026-06-23,,2711058500,중구 성내3동
3410000-101-2026-00107,2026-04-07,,영업/정상,경양식,대구광역시 중구 동문동 0004-0013 1층,344401.4,264677.2,2026-04-07,,2711056500,중구 성내1동
3410000-101-2026-00108,2026-04-07,,영업/정상,한식,대구광역시 중구 삼덕동1가 0061-0003 2층,344354.6,264184.7,2026-04-07,,2711054500,중구 삼덕동
3410000-101-2026-00182,2026-05-18,,영업/정상,한식,대구광역시 중구 종로2가 0076-0001 1층,343726.7,264229.2,2026-05-18,,2711057500,중구 성내2동
3410000-101-2026-00226,2026-06-25,,영업/정상,기타,대구광역시 중구 대신동 2105 서문시장 2지구 지하층 서-135-1호,342582.2,264326.6,2026-06-25,,2711059500,중구 대신동
3410000-101-2026-00227,2026-06-25,2026-06-28,폐업,기타,대구광역시 중구 동성로2가 0165-0001 일원(2026년 동성로 놀장축제),344019.3,264397.3,2026-06-25,2026-06-28,2711056500,중구 성내1동
3410000-101-2026-00206,2026-06-04,,영업/정상,한식,대구광역시 중구 남성로 0058 1층,343543.9,264242.8,2026-06-04,,2711057500,중구 성내2동
3410000-101-2026-00230,2026-06-29,,영업/정상,한식,대구광역시 중구 덕산동 0088 메트로센터 지하1층 S205호,343820.4,264018.9,2026-06-29,,2711064000,중구 남산1동
3410000-101-2026-00207,2026-06-04,2026-06-07,폐업,기타,대구광역시 중구 동성로2가 0165-0001 일원(2026년 동성로 놀장축제),344019.3,264397.3,2026-06-04,2026-06-07,2711056500,중구 성내1동
3410000-101-2026-00225,2026-06-24,,영업/정상,중국식,대구광역시 중구 동인동2가 0187 1층,344939.5,264522.5,2026-06-24,,2711051700,중구 동인동
3410000-101-2026-00228,2026-06-26,,영업/정상,한식,대구광역시 중구 덕산동 0122-0001 1층,343766.8,264111.6,2026-06-26,,2711057500,중구 성내2동
3410000-101-2026-00229,2026-06-26,,영업/정상,한식,대구광역시 중구 동인동4가 0528-0002 3층,345472.2,264119.3,2026-06-26,,2711051700,중구 동인동
3410000-101-2026-00183,2026-05-18,,영업/정상,"외국음식전문점(인도,태국등)",대구광역시 중구 삼덕동3가 0132-0010 1층,345273.4,264069.3,2026-05-18,,2711054500,중구 삼덕동
3410000-101-2026-00232,2026-06-30,,영업/정상,한식,대구광역시 중구 삼덕동3가 0237-0007 1층,,,2026-06-30,,,
3410000-101-2026-00233,2026-07-02,,영업/정상,감성주점,대구광역시 중구 문화동 0011-0009 2층,344175.7,264591.4,2026-07-02,,2711056500,중구 성내1동
3410000-101-2026-00231,2026-06-30,2026-07-09,폐업,기타,대구광역시 중구 계산동2가 0200 현대백화점 지하1층,343588.7,264119.0,2026-06-30,2026-07-09,2711057500,중구 성내2동
3410000-101-2026-00234,2026-07-03,,영업/정상,한식,대구광역시 중구 동문동 0009-0021 1층,344471.6,264753.3,2026-07-03,,2711056500,중구 성내1동
3410000-101-2026-00235,2026-07-03,2026-07-05,폐업,기타,대구광역시 중구 동성로2가 0165-0001 일원(2026년 동성로 놀장축제),344019.3,264397.3,2026-07-03,2026-07-05,2711056500,중구 성내1동
3410000-101-2026-00236,2026-07-03,,영업/정상,일식,대구광역시 중구 공평동 0111 더샵동성로 센트리엘 201동 103호,,,2026-07-03,,,
3410000-101-2026-00203,2026-06-01,2026-06-04,폐업,기타,대구광역시 중구 계산동2가 0200 현대백화점 지하1층,343588.7,264119.0,2026-06-01,2026-06-04,2711057500,중구 성내2동
3410000-101-2024-00411,2024-06-03,,영업/정상,기타,대구광역시 중구 봉산동 0064-0017 1층,344052.1,263646.8,2024-06-03,,2711056500,중구 성내1동
3410000-101-2026-00201,2026-06-01,,영업/정상,한식,대구광역시 중구 남산동 0695-0005 1층,343821.5,263423.4,2026-06-01,,2711064000,중구 남산1동
3410000-101-2026-00104,2026-03-31,,영업/정상,한식,대구광역시 중구 봉산동 0169-0009 1층,344331.4,263718.8,2026-03-31,,2711056500,중구 성내1동
3410000-101-2026-00190,2026-05-22,2026-05-25,폐업,기타,대구광역시 중구 동성로2가 0165-0001 일원(2026년 동성로 놀장축제),344019.3,264397.3,2026-05-22,2026-05-25,2711056500,중구 성내1동
3410000-101-2026-00191,2026-05-22,2026-05-25,폐업,기타,대구광역시 중구 동성로2가 0165-0001 일원(2026년 동성로 놀장축제),344019.3,264397.3,2026-05-22,2026-05-25,2711056500,중구 성내1동
3410000-101-2026-00175,2026-05-14,2026-05-17,폐업,기타,대구광역시 중구 동성로2가 0165-0001 일원(2026년 동성로 놀장축제),344019.3,264397.3,2026-05-14,2026-05-17,2711056500,중구 성내1동
3410000-101-2026-00177,2026-05-14,,영업/정상,경양식,대구광역시 중구 대봉동 0783 대봉 서한이다음 302동 104호,,,2026-05-14,,,
3410000-101-2026-00178,2026-05-14,2026-05-17,폐업,기타,대구광역시 중구 동성로2가 0165-0001 일원(2026년 동성로 놀장축제),344019.3,264397.3,2026-05-14,2026-05-17,2711056500,중구 성내1동
3410000-101-2026-00195,2026-05-27,,영업/정상,경양식,대구광역시 중구 서문로2가 0015-0004 4층,343247.9,264591.9,2026-05-27,,2711058500,중구 성내3동
3410000-101-2026-00193,2026-05-27,,영업/정상,일식,대구광역시 중구 완전동 0005-0052 1층,344300.4,264758.5,2026-05-27,,2711056500,중구 성내1동
3410000-101-2026-00194,2026-05-27,,영업/정상,한식,대구광역시 중구 남산동 2228-0003 1층,343222.6,263056.3,2026-05-27,,2711066000,중구 남산3동
3410000-101-2026-00168,2026-05-11,,영업/정상,기타,대구광역시 중구 태평로2가 0041 힐스테이트 대구역 115동 104호,,,2026-05-11,,,
3410000-101-2026-00198,2026-05-29,,영업/정상,호프/통닭,대구광역시 중구 대봉동 0002-0031 1층,345128.8,263567.9,2026-05-29,,2711068000,중구 대봉1동
3410000-101-2026-00200,2026-05-29,2026-05-31,폐업,기타,대구광역시 중구 동성로2가 0165-0001 일원(2026년 동성로 놀장축제),344019.3,264397.3,2026-05-29,2026-05-31,2711056500,중구 성내1동
3410000-101-2026-00199,2026-05-29,,영업/정상,중국식,대구광역시 중구 덕산동 0125-0012 1층,343882.3,264092.2,2026-05-29,,2711056500,중구 성내1동
3410000-101-2024-00409,2024-08-05,,영업/정상,기타,대구광역시 중구 대봉동 0013-0048 1층,344948.8,263648.4,2024-08-05,,2711068000,중구 대봉1동
3410000-101-2026-00161,2026-05-04,,영업/정상,기타,대구광역시 중구 삼덕동3가 0139 하이빌 1층,345364.2,264065.7,2026-05-04,,2711054500,중구 삼덕동
3410000-101-2026-00160,2026-05-04,2026-05-10,폐업,기타,대구광역시 중구 남성로 0045 일원(2026년 대구약령시 한방문화축제),343434.0,264309.1,2026-05-04,2026-05-10,2711057500,중구 성내2동
3410000-101-2026-00192,2026-05-26,2026-06-04,폐업,기타,대구광역시 중구 계산동2가 0200 현대백화점 지하1층,343588.7,264119.0,2026-05-26,2026-06-04,2711057500,중구 성내2동
3410000-101-2021-00283,2021-08-09,,영업/정상,기타,대구광역시 중구 대봉동 0025-0019 1층 102호,344796.3,263568.8,2021-08-09,,2711068000,중구 대봉1동
3410000-101-2026-00180,2026-05-15,,영업/정상,횟집,대구광역시 중구 동성로3가 0016-0010 1층,343894.2,264268.0,2026-05-15,,2711056500,중구 성내1동
3410000-101-2019-00299,2019-04-26,,영업/정상,한식,대구광역시 중구 대봉동 0025-0019 1층 101호,344796.3,263568.8,2019-04-26,,2711068000,중구 대봉1동
3410000-101-2026-00181,2026-05-15,,영업/정상,한식,대구광역시 중구 교동 0070-0048 1층,344296.8,264848.5,2026-05-15,,2711056500,중구 성내1동
3410000-101-2026-00179,2026-05-15,,영업/정상,한식,대구광역시 중구 동인동4가 0457-0003 1층,345476.5,264431.3,2026-05-15,,2711051700,중구 동인동
3410000-101-2026-00189,2026-05-21,,영업/정상,한식,대구광역시 중구 동성로1가 0014-0004 1층,344060.4,264801.2,2026-05-21,,2711056500,중구 성내1동
3410000-101-2026-00176,2026-05-14,,영업/정상,경양식,대구광역시 중구 삼덕동3가 0202-0006 1층,345176.3,263933.2,2026-05-14,,2711054500,중구 삼덕동
3410000-101-2026-00169,2026-05-12,2026-05-21,폐업,기타,대구광역시 중구 계산동2가 0200 현대백화점 지하1층,343588.7,264119.0,2026-05-12,2026-05-21,2711057500,중구 성내2동
3410000-101-2026-00170,2026-05-12,2026-05-21,폐업,기타,대구광역시 중구 계산동2가 0200 현대백화점 지하1층,343588.7,264119.0,2026-05-12,2026-05-21,2711057500,중구 성내2동
3410000-101-2026-00171,2026-05-12,,영업/정상,식육(숯불구이),"대구광역시 중구 남일동 0142 대구화교소학교, 지상 1층",343732.8,264353.8,2026-05-12,,2711057500,중구 성내2동
