store_id,category,adm_nm,date,time_slot,sales_hall,sales_delivery,orders,ingredient_cost,is_rain,is_heat,is_cold,holiday,fest_mult,n_comp_90d,qty_계란,qty_깐마늘,qty_닭,qty_대파,qty_무,qty_배추,qty_삼겹살,qty_양파
S1,치킨,"달서구 두류1,2동",2023-01-01,점심,29600,36100,3,19960,False,False,False,신정,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-02,점심,25700,31400,3,19960,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-03,점심,25700,31400,3,19960,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-04,점심,25700,31400,3,19960,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-05,점심,23100,31400,2,13300,False,False,True,,1.0,0,0.0,0.0,2.0,0.04,0.4,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-06,점심,30800,37700,3,20740,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-07,점심,30800,37600,3,20740,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-08,점심,25700,31400,3,20740,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-09,점심,25700,31400,3,20740,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-10,점심,25700,31400,3,20690,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-11,점심,25700,31400,3,20690,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-12,점심,25700,31400,3,20680,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-13,점심,24600,48900,3,20660,True,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-14,점심,30800,37600,3,20660,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-15,점심,25700,31400,3,20660,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-16,점심,25700,31400,3,20620,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-17,점심,25700,31400,3,20620,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-18,점심,25700,31400,3,20670,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-19,점심,23100,31400,2,13780,False,False,True,,1.0,0,0.0,0.0,2.0,0.04,0.4,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-20,점심,30800,37600,3,21010,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-21,점심,15900,21600,2,14010,False,False,True,설날,1.0,0,0.0,0.0,2.0,0.04,0.4,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-22,점심,13300,18000,1,7000,False,False,True,설날,1.0,0,0.0,0.0,1.0,0.02,0.2,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-23,점심,14800,18000,1,7000,False,False,False,설날,1.0,0,0.0,0.0,1.0,0.02,0.2,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-24,점심,26600,36100,3,21010,False,False,True,대체공휴일(설날),1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-25,점심,23100,31400,2,14010,False,False,True,,1.0,0,0.0,0.0,2.0,0.04,0.4,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-26,점심,23100,31400,2,13990,False,False,True,,1.0,0,0.0,0.0,2.0,0.04,0.4,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-27,점심,27700,37700,3,20980,False,False,True,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-28,점심,27700,37700,3,20880,False,False,True,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-29,점심,23100,31400,2,13920,False,False,True,,1.0,0,0.0,0.0,2.0,0.04,0.4,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-30,점심,25700,31400,3,20880,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-01-31,점심,23100,31400,2,13960,False,False,True,,1.0,0,0.0,0.0,2.0,0.04,0.4,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-02-01,점심,25700,31400,3,20880,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-02-02,점심,25700,31400,3,20720,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-02-03,점심,30900,37700,3,20380,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-02-04,점심,30900,37700,3,20380,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-02-05,점심,23200,31400,2,13590,False,False,True,,1.0,0,0.0,0.0,2.0,0.04,0.4,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-02-06,점심,25700,31500,3,20410,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-02-07,점심,25700,31500,3,20380,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-02-08,점심,25800,31500,3,20360,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-02-09,점심,25800,31500,3,20750,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-02-10,점심,24700,49100,3,20750,True,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-02-11,점심,30900,37800,3,20130,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-02-12,점심,25800,31500,3,20130,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-02-13,점심,25800,31500,3,20130,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-02-14,점심,25800,31500,3,20130,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
S1,치킨,"달서구 두류1,2동",2023-02-15,점심,25800,31600,3,20130,False,False,False,,1.0,0,0.0,0.0,3.0,0.06,0.6,0.0,0.0,0.0
