연번,광역단체명,기초단체명,축제명,축제유형,개최기간,개최장소,개최방식,최초개최년도(년),방문객수(전년도)
1,대구,본청,형형색색 달구벌 관등놀이,문화예술,2024-04-20_05-04,대구전역,혼합형,2013,4000
2,대구,본청,대구포크페스티벌,문화예술,2024-10-04_10-12,김광석거리일원,혼합형,2015,18000
3,대구,본청,대구생활문화제 ,문화예술,2024-05-11_05-12,2.28 기념중앙공원 등,혼합형,2014,1500
4,대구,본청,파워풀대구페스티벌,문화예술,2024-05-11_05-12,국채보상로 일원,대면,2005,800000
5,대구,본청,대구국제뮤지컬페스티벌,문화예술,2024-06-21_07-08,오페라하우스 및 공연장,혼합형,2007,31841
6,대구,본청,대구국제오페라축제,문화예술,2024-10-04_11-08,대구오페라하우스 및 대구일원,대면,2003,28557
7,대구,본청,대구콘텐츠페어,기타(산업육성),2024-10-11_10-12,엑스코,혼합형,2022,16000
8,대구,본청,팔공산 산중전통장터 승시 축제,전통역사,2024-10-01_10-03,동화사,대면,2010,50000
9,대구,본청,대구치맥페스티벌,기타,2024-07-03_07-07,두류공원,대면,2013,1000000
10,대구,본청,제46회대구약령시한방문화축제,전통역사,2024-05-08_05-12,대구약령시일원,대면,1978,80000
11,대구,중구,제19회 대구패션주얼리위크,특산물,2024-10-11_10-12,대구패션주얼리특구 일원,대면,2006,2000
12,대구 ,중구,제11회 빨간구두이야기(수제화축제),문화예술,2024-09-28,향촌동 수제화골목,대면,2014,1900
13,대구,중구,서문시장글로벌대축제,전통역사,2024-10-15_10-17,서문시장일대,혼합,1997,6000
14,대구,중구,대구 문화재야행,문화예술,2024-08-30_08-31,경상감영공원,대면,2016,15136
15,대구,중구,제12회 대구스트리트모터페스티벌,기타,2024-09-28,남산동자동차부속골목일원,대면,2010,미측정
16,대구,중구,"제12회 김광석, 나의 노래 다시부르기",문화예술,미개최,신천둔치,대면,2013,600
17,대구,중구,제35회 동성로축제,기타,2024-05-10_05-12,동성로일원,대면,1990,67000
18,대구,중구,김광석길페스티벌,문화예술,2024-10-19_10-20,김광석거리일원,대면,2020,2500
19,대구,동구,팔공산 벚꽃축제,생태자연,2024-03-29_04-02,팔공산동화지구,대면,2009,5000
20,대구,동구,팔공산 단풍축제,생태자연,2024-10-25_10-27,팔공산동화지구,미정,2000,3000
21,대구,서구,달구벌목민관 부임 마을축제,전통역사,2024-10-12_10-13,서구일대북비산네거리,대면,2015,3000
22,대구,남구,제29회 대덕제 대구앞산축제,문화예술,2024-05-25_05-26,앞산빨래터공원,대면,1987,10000
23,대구,남구,제12회 로드페스티벌,문화예술,2024-06-08_06-09,대명공연거리,대면,2013,500
24,대구,북구,금호강바람소리길축제,"문화예술,생태환경",2024-09-28_09-29,금호강 산격대교 하단,대면,2015,75000
25,대구,북구,떡볶이 페스티벌,문화예술,2024-05-04_05-05,DGB대구은행파크,대면,2021,130000
26,대구,북구,논두렁밭두렁마을축제,생태환경,2024-10-26,학정동 들녘,대면,2014,1500
27,대구,수성구,수성못페스티벌,문화예술,2024-09-27_09-29,수성못,대면,2014,180000
28,대구,달서구,장미꽃 필 무렵,생태자원,2024-05-10_05-12,이곡장미공원 등,대면,2011,10000
29,대구,달서구,선사문화체험축제,전통역사,2024-05-17_05-18,한샘청동공원 등,대면,2015,6000
30,대구,달서구,희망달서 대축제,주민화합,2024-10-12_10-13,달서아트센터 일원,대면,2013,10000
31,대구,달성군,제28회 참꽃 문화제,문화예술,2024-04-13_04-14,비슬산,대면,1997,40000
32,대구,달성군,2024 100대 피아노,문화예술,2024-09-28,사문진야외공연장,대면,2012,20000
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
