contentid,title,start,end,addr,lon,lat,tel,category,adm_nm
2641128,수성빛예술제,2025-12-24,2026-01-04,대구광역시 수성구 무학로 112 (두산동),128.6206032541,35.829419486,053-668-1504,EV010200,수성구 두산동
2992829,2026 인터내셔널 키스포츠페스티벌 대구,2026-04-11,2026-04-12,대구광역시 북구 엑스코로 10 (산격동),128.6130738582469,35.90706961238413,1811-6420,EV030300,북구 산격2동
1803449,비슬산 참꽃문화제,2026-04-18,2026-04-19,대구광역시 달성군 유가읍 일연선사길 10,128.50601471433822,35.69224488277265,053-668-4245,EV010200,달성군 유가읍
506516,대구약령시한방문화축제,2026-05-07,2026-05-10,대구광역시 중구 달구벌대로415길 49 (남성로),128.589908485381,35.8685163598675,053-254-1658,EV010400,중구 성내2동
2374957,장미꽃 필(Feel) 무렵,2026-05-15,2026-05-17,대구광역시 달서구 이곡동,128.514778,35.858023,053-584-9712,EV010200,달서구 이곡1동
2807078,2026 대한민국불교문화엑스포,2026-06-11,2026-06-14,대구광역시 북구 엑스코로 10 (산격동),128.6130738582469,35.90706961238413,02-2231-2013,EV030200,북구 산격2동
141963,제20회 대구국제뮤지컬페스티벌,2026-06-19,2026-07-06,대구광역시 달서구 공원순환로 201 (성당동),128.5580763673,35.8447383632,053-422-1945,EV020300,달서구 성당동
1801011,대구치맥페스티벌,2026-07-01,2026-07-05,대구광역시 달서구 공원순환로 36 (두류동),128.5587905692,35.8508968806,053-248-9998,EV010100,달서구 두류3동
2375382,대구앞산축제,2026-07-04,2026-07-05,대구광역시 남구 고산4길 71 (봉덕동),128.6004362056,35.8322903512,053-664-3263,EV010200,남구 봉덕3동
4079965,청년축제 달성워터스플래시,2026-07-18,2026-07-18,대구광역시 달성군 다사읍 강정본길 57,128.4649553312,35.8412414475,053-668-4267,EV010600,달성군 다사읍
3507102,대구 동구 여름축제 두두썸동,2026-07-25,2026-07-26,대구 동구 불로동 971-3,128.6288967,35.8998279,053-662-4072,EV010600,동구 지저동
2748395,남구청년예술제,2026-09-01,2026-09-11,대구광역시 남구 앞산순환로 478 (대명동),128.576970397,35.8312933337,053-664-3118,EV020900,남구 대명9동
3301281,달성가족문화축제 YES! 키즈존,2026-09-05,2026-09-06,대구광역시 달성군 유가읍 테크노대로6길 20,128.4664210807,35.6862027968,053-668-4273,EV010600,달성군 유가읍
2392105,2026 달성 대구현대미술제  Movement: Flow-Ringer-Flux,2026-09-11,2026-10-11,대구광역시 달성군 다사읍 강정본길 57,128.4649553312,35.8412414475,053-668-4245,EV030100,달성군 다사읍
2877219,대구메이커페스타,2026-09-19,2026-09-20,대구광역시 북구 호암로 51 (침산동),128.596184078,35.8823225967,010-2892-3792,EV010600,북구 침산2동
2828537,떡볶이 페스티벌,2026-10-23,2026-10-25,대구광역시 북구 고성로 191 (고성동3가),128.5867732233,35.8803997225,053-665-2795,EV010600,북구 고성동
4109218,「인각사」와 함께하는 제5회 군위 삼국유사 전국 가족걷기대회,2026-10-24,2026-10-24,대구광역시 군위군 삼국유사면 삼국유사로 250,128.7784271308,36.1280793877,053-757-5137,EV030400,군위군 삼국유사면
