baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
20260914,0500,TMP,20260914,0600,19,89,90
20260914,0500,UUU,20260914,0600,1.2,89,90
20260914,0500,VVV,20260914,0600,-0.5,89,90
20260914,0500,VEC,20260914,0600,295,89,90
20260914,0500,WSD,20260914,0600,1.4,89,90
20260914,0500,SKY,20260914,0600,1,89,90
20260914,0500,PTY,20260914,0600,0,89,90
20260914,0500,POP,20260914,0600,0,89,90
20260914,0500,WAV,20260914,0600,0,89,90
20260914,0500,PCP,20260914,0600,강수없음,89,90
20260914,0500,REH,20260914,0600,75,89,90
20260914,0500,SNO,20260914,0600,적설없음,89,90
20260914,0500,TMP,20260914,0700,19,89,90
20260914,0500,UUU,20260914,0700,1.4,89,90
20260914,0500,VVV,20260914,0700,-0.5,89,90
20260914,0500,VEC,20260914,0700,292,89,90
20260914,0500,WSD,20260914,0700,1.6,89,90
20260914,0500,SKY,20260914,0700,1,89,90
20260914,0500,PTY,20260914,0700,0,89,90
20260914,0500,POP,20260914,0700,0,89,90
20260914,0500,WAV,20260914,0700,0,89,90
20260914,0500,PCP,20260914,0700,강수없음,89,90
20260914,0500,REH,20260914,0700,80,89,90
20260914,0500,SNO,20260914,0700,적설없음,89,90
20260914,0500,TMP,20260914,0800,21,89,90
20260914,0500,UUU,20260914,0800,1.8,89,90
20260914,0500,VVV,20260914,0800,-1,89,90
20260914,0500,VEC,20260914,0800,301,89,90
20260914,0500,WSD,20260914,0800,2.1,89,90
20260914,0500,SKY,20260914,0800,1,89,90
20260914,0500,PTY,20260914,0800,0,89,90
20260914,0500,POP,20260914,0800,0,89,90
20260914,0500,WAV,20260914,0800,0,89,90
20260914,0500,PCP,20260914,0800,강수없음,89,90
20260914,0500,REH,20260914,0800,75,89,90
20260914,0500,SNO,20260914,0800,적설없음,89,90
20260914,0500,TMP,20260914,0900,23,89,90
20260914,0500,UUU,20260914,0900,2,89,90
20260914,0500,VVV,20260914,0900,-1.3,89,90
20260914,0500,VEC,20260914,0900,304,89,90
20260914,0500,WSD,20260914,0900,2.5,89,90
20260914,0500,SKY,20260914,0900,1,89,90
20260914,0500,PTY,20260914,0900,0,89,90
20260914,0500,POP,20260914,0900,0,89,90
20260914,0500,WAV,20260914,0900,0,89,90
20260914,0500,PCP,20260914,0900,강수없음,89,90
20260914,0500,REH,20260914,0900,65,89,90
20260914,0500,SNO,20260914,0900,적설없음,89,90
20260914,0500,TMP,20260914,1000,25,89,90
20260914,0500,UUU,20260914,1000,1.9,89,90
20260914,0500,VVV,20260914,1000,-1.7,89,90
20260914,0500,VEC,20260914,1000,312,89,90
20260914,0500,WSD,20260914,1000,2.6,89,90
20260914,0500,SKY,20260914,1000,3,89,90
20260914,0500,PTY,20260914,1000,0,89,90
20260914,0500,POP,20260914,1000,20,89,90
20260914,0500,WAV,20260914,1000,0,89,90
20260914,0500,PCP,20260914,1000,강수없음,89,90
20260914,0500,REH,20260914,1000,55,89,90
20260914,0500,SNO,20260914,1000,적설없음,89,90
20260914,0500,TMP,20260914,1100,26,89,90
20260914,0500,UUU,20260914,1100,1.9,89,90
20260914,0500,VVV,20260914,1100,-2.1,89,90
20260914,0500,VEC,20260914,1100,318,89,90
20260914,0500,WSD,20260914,1100,2.9,89,90
20260914,0500,SKY,20260914,1100,3,89,90
20260914,0500,PTY,20260914,1100,0,89,90
20260914,0500,POP,20260914,1100,20,89,90
20260914,0500,WAV,20260914,1100,0,89,90
20260914,0500,PCP,20260914,1100,강수없음,89,90
20260914,0500,REH,20260914,1100,50,89,90
20260914,0500,SNO,20260914,1100,적설없음,89,90
20260914,0500,TMP,20260914,1200,27,89,90
20260914,0500,UUU,20260914,1200,1.9,89,90
20260914,0500,VVV,20260914,1200,-2.1,89,90
20260914,0500,VEC,20260914,1200,319,89,90
20260914,0500,WSD,20260914,1200,2.9,89,90
20260914,0500,SKY,20260914,1200,3,89,90
20260914,0500,PTY,20260914,1200,0,89,90
20260914,0500,POP,20260914,1200,20,89,90
20260914,0500,WAV,20260914,1200,0,89,90
20260914,0500,PCP,20260914,1200,강수없음,89,90
20260914,0500,REH,20260914,1200,45,89,90
20260914,0500,SNO,20260914,1200,적설없음,89,90
20260914,0500,TMP,20260914,1300,29,89,90
20260914,0500,UUU,20260914,1300,1.7,89,90
20260914,0500,VVV,20260914,1300,-2,89,90
20260914,0500,VEC,20260914,1300,319,89,90
20260914,0500,WSD,20260914,1300,2.7,89,90
20260914,0500,SKY,20260914,1300,3,89,90
20260914,0500,PTY,20260914,1300,0,89,90
20260914,0500,POP,20260914,1300,20,89,90
20260914,0500,WAV,20260914,1300,0,89,90
20260914,0500,PCP,20260914,1300,강수없음,89,90
20260914,0500,REH,20260914,1300,40,89,90
20260914,0500,SNO,20260914,1300,적설없음,89,90
20260914,0500,TMP,20260914,1400,29,89,90
20260914,0500,UUU,20260914,1400,1.6,89,90
20260914,0500,VVV,20260914,1400,-2.1,89,90
20260914,0500,VEC,20260914,1400,322,89,90
20260914,0500,WSD,20260914,1400,2.7,89,90
20260914,0500,SKY,20260914,1400,3,89,90
20260914,0500,PTY,20260914,1400,0,89,90
