瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm)
143,措备,2023-01-01,1.7,-3.9,7.1,
143,措备,2023-01-02,.4,-1.9,4.2,
143,措备,2023-01-03,-.3,-3.5,4.6,
143,措备,2023-01-04,1.1,-3.5,6.5,
143,措备,2023-01-05,.6,-5.2,7.3,
143,措备,2023-01-06,1.8,-3.4,9.2,0
143,措备,2023-01-07,3.2,-.9,7.9,0
143,措备,2023-01-08,2.4,-3.9,9.9,
143,措备,2023-01-09,3.2,-2.8,11.7,
143,措备,2023-01-10,2.8,-4.1,10.8,
143,措备,2023-01-11,4.2,-2.6,12.8,
143,措备,2023-01-12,6,-2.8,14.9,0
143,措备,2023-01-13,11,5.1,15.5,10.1
143,措备,2023-01-14,9,6.1,12.4,0
143,措备,2023-01-15,3.9,-.3,6.4,1.4
143,措备,2023-01-16,-.7,-3.3,3.2,
143,措备,2023-01-17,-.3,-4.5,3.4,
143,措备,2023-01-18,.6,-3.6,4.9,
143,措备,2023-01-19,.5,-5.1,6.5,
143,措备,2023-01-20,.4,-3.5,4.6,
143,措备,2023-01-21,-2.1,-7.5,3.9,
143,措备,2023-01-22,-.5,-5.3,4.6,
143,措备,2023-01-23,2.9,-4.1,9.5,
143,措备,2023-01-24,-8.3,-12,1.6,
143,措备,2023-01-25,-8.9,-14.2,-2.8,
143,措备,2023-01-26,-4.1,-11.7,2.2,0
143,措备,2023-01-27,-3,-6.5,.3,0
143,措备,2023-01-28,-3.6,-8.3,1.1,
143,措备,2023-01-29,.8,-6,6.4,0
143,措备,2023-01-30,1.3,-3.2,5.8,
143,措备,2023-01-31,1.7,-6.4,11.3,
143,措备,2023-02-01,3.8,-1.4,13.6,
143,措备,2023-02-02,1.3,-2,6.6,
143,措备,2023-02-03,2.4,-2.4,8.7,
143,措备,2023-02-04,1.6,-1.9,7.2,
143,措备,2023-02-05,1.6,-5.2,10.2,
143,措备,2023-02-06,4.2,-4.7,13.5,
143,措备,2023-02-07,5.3,-2,13.5,
143,措备,2023-02-08,4.9,-1.7,11.7,
143,措备,2023-02-09,3.9,-2.8,9.5,.4
143,措备,2023-02-10,4.6,.9,7.8,10.3
143,措备,2023-02-11,3.6,-1.8,10.6,
143,措备,2023-02-12,4.8,-.8,9.2,0
143,措备,2023-02-13,6.1,4.4,7.9,.5
143,措备,2023-02-14,4.6,2.1,9.9,
143,措备,2023-02-15,2.8,1.4,5.7,0
143,措备,2023-02-16,4.7,1.2,11.2,
143,措备,2023-02-17,4.4,-.6,7.8,
143,措备,2023-02-18,6.9,4.6,8.5,0
143,措备,2023-02-19,7.2,2.2,11.3,0
143,措备,2023-02-20,2.6,-1.3,7.4,
143,措备,2023-02-21,1.3,-3.3,6.8,
143,措备,2023-02-22,3.8,-4.6,11.1,
143,措备,2023-02-23,7.8,3.5,12.8,0
143,措备,2023-02-24,7.4,4.3,12.5,
143,措备,2023-02-25,3.8,-.2,9.2,
143,措备,2023-02-26,3.7,-4.2,12.3,
143,措备,2023-02-27,6.2,-3.5,16.9,
143,措备,2023-02-28,8.8,-.1,18.1,
143,措备,2023-03-01,8.4,5.3,14.6,
143,措备,2023-03-02,4.6,1.6,9.4,
143,措备,2023-03-03,7.5,1.2,15,
143,措备,2023-03-04,8,1.1,15.6,
143,措备,2023-03-05,8.9,1.1,17.2,
143,措备,2023-03-06,10.5,1.8,19.3,
143,措备,2023-03-07,13.2,3.1,23.3,
143,措备,2023-03-08,14,6.7,22.8,
143,措备,2023-03-09,16,8.3,23.6,0
143,措备,2023-03-10,14.9,6.7,23.8,
143,措备,2023-03-11,16.7,7.9,24.6,
143,措备,2023-03-12,9.9,2.4,19,6.7
143,措备,2023-03-13,5.2,.2,11.4,
143,措备,2023-03-14,9.7,2.7,18.6,
143,措备,2023-03-15,13.8,3.9,22.5,
143,措备,2023-03-16,10.5,5.9,15.4,
143,措备,2023-03-17,9.5,6.3,13.2,
143,措备,2023-03-18,11.8,7.5,17.9,
143,措备,2023-03-19,11.4,6,19.3,
143,措备,2023-03-20,12.3,2.7,20.6,
143,措备,2023-03-21,15.3,9.2,22.8,
143,措备,2023-03-22,15.9,8.8,22.3,1.3
143,措备,2023-03-23,15.2,14.5,16.4,19.3
143,措备,2023-03-24,12.6,9.9,15.3,
143,措备,2023-03-25,10.4,9,12.4,
143,措备,2023-03-26,11.7,7.6,18.4,0
143,措备,2023-03-27,9.7,4.1,16.7,
143,措备,2023-03-28,11.4,2.3,19.4,
143,措备,2023-03-29,13.3,4.6,21.8,
143,措备,2023-03-30,15.6,6.2,24.1,
143,措备,2023-03-31,16.4,8,25.6,
143,措备,2023-04-01,15,7,23,
143,措备,2023-04-02,13.6,7.6,19.6,
143,措备,2023-04-03,13.3,6.4,19.6,
143,措备,2023-04-04,15.1,9.3,22.8,2
143,措备,2023-04-05,15.6,13,17.2,6.4
143,措备,2023-04-06,14,10.1,18.6,2.6
143,措备,2023-04-07,12.4,8.3,19.4,3.2
143,措备,2023-04-08,10.7,4.6,16.8,
143,措备,2023-04-09,13.7,5.1,21.7,
143,措备,2023-04-10,14.5,5.2,23.7,
143,措备,2023-04-11,17.1,8.9,23.4,0
143,措备,2023-04-12,14.9,10.6,20.2,
143,措备,2023-04-13,15.8,5.2,25.6,
143,措备,2023-04-14,15.8,9.9,20.7,.1
143,措备,2023-04-15,13.2,8.3,17,.2
143,措备,2023-04-16,12.3,6.8,18.9,0
143,措备,2023-04-17,14.3,5.2,22.6,
143,措备,2023-04-18,16.6,13.3,20.7,1.6
143,措备,2023-04-19,19.3,14.1,24.4,
143,措备,2023-04-20,23.1,17.5,29.6,
143,措备,2023-04-21,16.5,12.5,21.7,
143,措备,2023-04-22,13.7,9.2,18.2,
143,措备,2023-04-23,13.5,8.7,18.5,
