name,category,address,roadAddress,district,latitude,longitude
815미가밥상,한식,대구광역시 군위군 부계면 창평리 815,대구광역시 군위군 부계면 부흥로 102,군위군,36.105617,128.671469
TK레져식당,한식,대구광역시 군위군 부계면 남산리 1136-2,대구광역시 군위군 부계면 한티로 1522,군위군,36.029225,128.629297
bhc 경북의흥점,한식,대구광역시 군위군 의흥면 읍내리 591-9,대구광역시 군위군 의흥면 읍내길 53-2,군위군,36.174829,128.716415
bhc 경북효령점,호프/통닭,대구광역시 군위군 효령면 장군리 219-1,대구광역시 군위군 효령면 경북대로 2219,군위군,36.120656,128.575519
bhc군위점,호프/통닭,대구광역시 군위군 군위읍 서부리 36-5,대구광역시 군위군 군위읍 중앙길 95,군위군,36.236873,128.566822
가마치통닭 군위점,호프/통닭,대구광역시 군위군 군위읍 동부리 396-5,대구광역시 군위군 군위읍 중앙길 122,군위군,36.239033,128.567970
강변매운탕,한식,대구광역시 군위군 군위읍 외량리 805,대구광역시 군위군 군위읍 내외량길 146-33,군위군,36.254481,128.532421
강변식당,한식,대구광역시 군위군 효령면 중구리 162-1,대구광역시 군위군 효령면 중구2길 17,군위군,36.155592,128.586958
강원도물회,횟집,대구광역시 군위군 우보면 이화리 1302-3,대구광역시 군위군 우보면 이화길 118,군위군,36.194644,128.663333
거북산장식당,한식,대구광역시 군위군 부계면 남산리 1454-2,대구광역시 군위군 부계면 한티로 1455,군위군,36.032752,128.624566
경산식당,한식,대구광역시 군위군 군위읍 서부리 19-3,대구광역시 군위군 군위읍 중앙5길 8-19,군위군,36.239570,128.567042
경양식1984,경양식,대구광역시 군위군 효령면 장군리 61-8,대구광역시 군위군 효령면 경북대로 2218,군위군,36.120333,128.576136
경일식당,한식,대구광역시 군위군 군위읍 서부리 37-4,대구광역시 군위군 군위읍 중앙길 98,군위군,36.236973,128.567251
계곡가든,한식,대구광역시 군위군 부계면 남산리 1022,대구광역시 군위군 부계면 한티로 1710-35,군위군,36.030219,128.643737
고향맛손칼국수,한식,대구광역시 군위군 삼국유사면 화수리 896-1,대구광역시 군위군 삼국유사면 동부로 270,군위군,36.125429,128.755822
고향산천,한식,대구광역시 군위군 부계면 남산리 1020,대구광역시 군위군 부계면 한티로 1710-31,군위군,36.030591,128.643484
골목식당,한식,대구광역시 군위군 우보면 이화리 1220-4,대구광역시 군위군 우보면 이화길 137-13,군위군,36.196370,128.665060
골목식당,한식,대구광역시 군위군 소보면 송원리 691-2,대구광역시 군위군 소보면 송원3길 39-20,군위군,36.257113,128.480050
골목식당,한식,대구광역시 군위군 군위읍 서부리 300,대구광역시 군위군 군위읍 중앙길 61-23,군위군,36.233789,128.565756
골목집매운탕,한식,"대구광역시 군위군 효령면 거매리 447,445,446,564-1",대구광역시 군위군 효령면 거매2길 38-1,군위군,36.151070,128.597078
골프키친,한식,대구광역시 군위군 소보면 송원리 171-1,"대구광역시 군위군 소보면 송내길 22, 1층",군위군,36.259391,128.480435
공항뷔페,뷔페식,대구광역시 군위군 군위읍 서부리 6-2,대구광역시 군위군 군위읍 도군로 2712,군위군,36.241058,128.567160
구구통닭,통닭(치킨),대구광역시 군위군 의흥면 읍내리 603-2,대구광역시 군위군 의흥면 읍내5길 7-8,군위군,36.174030,128.716535
구안식당,한식,대구광역시 군위군 효령면 고곡리 475-1,대구광역시 군위군 효령면 경북대로 2166,군위군,36.115704,128.575396
국수나무(군위점),한식,대구광역시 군위군 군위읍 동부리 403-6,대구광역시 군위군 군위읍 동서5길 22-12,군위군,36.237956,128.569231
군위농협장례식당,한식,대구광역시 군위군 군위읍 정리 191-1,대구광역시 군위군 군위읍 중앙길 165-6,군위군,36.242812,128.567030
군위반점,일식,대구광역시 군위군 군위읍 서부리 120,대구광역시 군위군 군위읍 동산새길 50,군위군,36.231863,128.568887
군위부계닭갈비,한식,대구광역시 군위군 부계면 창평리 786-8,대구광역시 군위군 부계면 부흥로 46,군위군,36.101166,128.669039
군위상황약수삼계탕,한식,대구광역시 군위군 군위읍 서부리 388-4,대구광역시 군위군 군위읍 동서길 28,군위군,36.235925,128.565029
군위식당,중국식,대구광역시 군위군 소보면 송원리 696-5,대구광역시 군위군 소보면 송원3길 27,군위군,36.255976,128.478351
군위식당,한식,대구광역시 군위군 군위읍 서부리 22-12,대구광역시 군위군 군위읍 중앙5길 4,군위군,36.238589,128.567366
군위염소가든,한식,대구광역시 군위군 군위읍 사직리 581,대구광역시 군위군 군위읍 사직2길 20,군위군,36.224680,128.553315
군위와촌식당,한식,대구광역시 군위군 부계면 창평리 853-4,대구광역시 군위군 부계면 치산효령로 1383,군위군,36.101303,128.662557
군위이동수산,횟집,대구광역시 군위군 군위읍 서부리 16-5,대구광역시 군위군 군위읍 중앙5길 12-8,군위군,36.239294,128.566905
군위이로운 한우,식육(숯불구이),대구광역시 군위군 효령면 성리 715-1 군위이로운한우직판장,"대구광역시 군위군 효령면 간동유원지길 14, 군위이로운한우직판장",군위군,36.178619,128.584936
군위참좋은한우,식육(숯불구이),대구광역시 군위군 효령면 성리 712-3,대구광역시 군위군 효령면 간동유원지길 5,군위군,36.178612,128.583564
군위축협 축산물프라자,식육(숯불구이),대구광역시 군위군 군위읍 서부리 154-17,대구광역시 군위군 군위읍 군청로 49-33,군위군,36.229302,128.566131
군위휴게식당,한식,대구광역시 군위군 군위읍 정리 687,대구광역시 군위군 군위읍 경북대로 3987,군위군,36.258596,128.571284
금상매운탕,탕류(보신용),대구광역시 군위군 군위읍 서부리 154-1,"대구광역시 군위군 군위읍 군청로 49-30, 1층",군위군,36.229640,128.567103
기러기천둥오리농장가든,한식,대구광역시 군위군 효령면 매곡리 306,대구광역시 군위군 효령면 용매로 788,군위군,36.084601,128.595784
길목식당,한식,대구광역시 군위군 삼국유사면 화수리 907-1,대구광역시 군위군 삼국유사면 삼국유사로 3,군위군,36.126225,128.755190
김서방통닭,호프/통닭,대구광역시 군위군 군위읍 서부리 18-12,대구광역시 군위군 군위읍 중앙길 125-1,군위군,36.239482,128.567813
꽃우림플라워앤쿡(꽃우림flower&cook),한식,대구광역시 군위군 의흥면 이지리 483,"대구광역시 군위군 의흥면 산성가음로 1160, 1호",군위군,36.160325,128.709138
꾸띵피자치킨,패스트푸드,대구광역시 군위군 군위읍 서부리 112-1,대구광역시 군위군 군위읍 중앙길 46,군위군,36.232624,128.566763
남산식당,한식,대구광역시 군위군 부계면 남산리 308,대구광역시 군위군 부계면 남산4길 17,군위군,36.048010,128.641285
농암가든,통닭(치킨),대구광역시 군위군 군위읍 대북리 768-2,대구광역시 군위군 군위읍 도군로 2506-1,군위군,36.253336,128.554115
누리마을 감자탕,한식,대구광역시 군위군 군위읍 서부리 227,대구광역시 군위군 군위읍 중앙길 54,군위군,36.233234,128.566385
느티나무골,한식,대구광역시 군위군 부계면 남산리 990,대구광역시 군위군 부계면 한티로 1710-41,군위군,36.029688,128.643943
다락재쉼터,한식,대구광역시 군위군 군위읍 대북리 771-2,대구광역시 군위군 군위읍 도군로 2488,군위군,36.254503,128.552773
다람쥐 카페,경양식,대구광역시 군위군 삼국유사면 화북리 1271-17,대구광역시 군위군 삼국유사면 화산산성길 57,군위군,36.103938,128.777364
다발연수원관광농원,한식,대구광역시 군위군 효령면 288,대구광역시 군위군 효령면 탑평길 21-5,군위군,36.084981,128.599597
다복향마라탕,중국식,대구광역시 군위군 군위읍 서부리 36-11,"대구광역시 군위군 군위읍 중앙길 95-1, 1층",군위군,36.237006,128.566796
