id,sourceType,title,organization,authors,publicationYear,url,description,reliabilityNote
1,PUBLIC_DATA,소상공인시장진흥공단 상가(상권)정보,소상공인시장진흥공단,,,https://www.data.go.kr/data/15083033/fileData.do,"영업 중인 상가업소의 상호명, 업종, 주소, 좌표 등을 제공하는 공공데이터","상권·업종 파악을 위한 참고 데이터이며, 데이터 갱신 시점에 따라 실제 현황과 차이가 있을 수 있음"
2,PAPER,Exploratory Study on the Forecasting Daily Sales of the Foodservice Industry,한국경영교육학회,,2013,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArticleSearchBean.artiId=ART001797203,외식업 일별 매출과 날씨·요일·계절의 관계를 분석한 연구,특정 외식업 표본 연구이므로 서비스에서는 매출 수치 예측이 아니라 운영 참고 방향으로만 활용
3,PAPER,Decision-Making Factors and Demand Forecasting in Weather Management - Chicken franchise case-based -,한국외식경영학회,,2020,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArticleSearchBean.artiId=ART002602686,치킨 프랜차이즈 사례에서 날씨 요인과 수요를 분석한 연구,치킨 업종 사례연구이므로 다른 메뉴에 직접 일반화하지 않음
4,PAPER,"The Impact of Autumn Weather, Weekdays, and Public Holiday on Restaurants Sales by Area in Seoul",한국자료분석학회,,2019,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArticleSearchBean.artiId=ART002440339,서울 음식점 카드매출과 날씨·요일·공휴일의 관계를 분석한 연구,특정 지역과 기간의 분석 결과이므로 운영 참고용으로만 활용
5,FESTIVAL,"SNS 빅데이터 활용, 축제 효과 정밀 분석",대구광역시,,2025,https://info.daegu.go.kr/newshome/mtnmain.php?mtnkey=articleview&mkey=scatelist&mkey2=2&aid=274465,대구치맥페스티벌 관련 방문인구와 카드매출 변화를 분석한 대구광역시 자료,특정 행사·상권 사례이므로 모든 축제의 효과를 단정하지 않음
6,API,기상청 기상자료개방포털,기상청,,,https://data.kma.go.kr/,"기온, 강수, 풍속 등 기상 데이터 제공",예보는 변경될 수 있음
7,PAPER,딥러닝 기반 날씨와 소상공인 매출 연계 빅데이터 분석,한국기상학회,송사광 외,2016,,AWS 기상·유동인구·카드매출로 업종별 매출을 모델링하고 1~5점 매출활성화 지수를 제안한 연구,학술대회 초록집. 본 서비스가 금액 대신 우선순위·신뢰도로 제시하는 방식의 선례로만 활용
8,PAPER,기상요인이 식음료업의 매출에 미치는 영향 분석,한국부동산분석학회,성은영·성현곤·최창규,2017,,서울 식음료업 매출과 기온·습도·미세먼지의 관계를 분석한 연구,"미세먼지와 풍속은 유의한 영향이 확인되지 않아, 미세먼지 권고에는 매출 근거를 붙이지 않음"
9,INDUSTRY,요기요 강수일 주문량 분석 보도자료,알지피코리아,,2015,,강수일 배달 주문량이 메뉴별로 다르게 나타났다는 업계 발표,기업 보도자료이며 방법론이 공개되지 않아 규칙 엔진에 적용하지 않음
10,PAPER,날씨 및 환경 요인을 활용한 음식 배달 소비자 군집화 연구: K-prototype 알고리즘 중심으로,한국지식경영학회,홍소은·김다빈·이소현,2025,https://doi.org/10.15813/kmr.2025.26.3.012,날씨·불쾌지수·초미세먼지로 배달 소비자를 군집화한 연구,군집 분석이라 회귀계수가 없음. 방향(고온다습 시 디저트 선호) 근거로만 활용
11,PAPER,날씨에 따른 배달음식 주문건수 예측,한국기상학회,김대룡·김다영·변수지,2016,,서울 26개 구 치킨·중식 배달 주문건수와 기상 요인의 비선형 관계를 분석한 연구,학술대회 초록집이라 회귀계수가 없음. 기온 U자형·강수 역U자형 등 방향 근거로만 활용
12,PAPER,기상자료와 기계학습을 통한 배달주문 수요예측,한국기상학회,권태용·곽재영·신주일·양다영·여현구·이영재·윤상후,2018,,족발보쌈·치킨·피자·중식 배달 이용건수를 랜덤포레스트로 예측하고 변수중요도를 제시한 연구,강수여부는 중식을 제외한 업종에서 유의. 변수중요도(시간>요일>월>기온>강수)를 권고 정렬에 활용
13,API,한국관광공사 TourAPI 축제 정보,한국관광공사,,,https://api.visitkorea.or.kr/,"전국 축제·행사의 명칭, 기간, 장소, 좌표를 제공하는 공공 API (대구 지역 추출본)",행사 일정과 장소는 주최 측 사정으로 변경될 수 있음
14,PUBLIC_DATA,KAMIS 농산물유통정보 대구 소매가격 및 급등확률 모델,농림수산식품교육문화정보원(KAMIS),,,https://www.kamis.or.kr/,"대구 소매 8개 품목(계란·깐마늘·닭·대파·무·배추·삼겹살·양파) 일별 가격과, 향후 7일 내 10% 이상 상승 확률을 예측하는 자체 모델(gradient boosting) 결과",모델 검증 결과 정밀도 20.4%·재현율 75.8%(임계값 0.08)로 알림이 뜨더라도 실제 급등으로 이어지지 않는 경우가 많음. 확정 신호가 아닌 확인 참고용으로만 사용
